price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
5378000,5359,3,1,1,yes,no,no,no,no,2,no,semi-furnished
6453000,3047,3,1,2,yes,no,yes,no,no,0,yes,unfurnished
8343000,6462,3,1,4,yes,no,no,no,yes,0,yes,semi-furnished
8588000,6999,2,3,3,yes,no,no,no,no,0,no,furnished
5245000,2078,3,1,2,yes,no,no,no,no,2,no,semi-furnished
5988000,2729,3,1,2,yes,no,no,no,yes,0,yes,unfurnished
4329000,4975,2,1,2,yes,no,yes,no,no,0,no,unfurnished
5828000,4129,4,1,3,yes,no,yes,no,yes,0,no,semi-furnished
5649000,4682,3,1,1,yes,no,yes,no,no,0,yes,semi-furnished
5506000,3295,2,1,2,yes,no,no,no,no,0,yes,semi-furnished
8318000,6822,5,1,3,no,yes,no,no,yes,2,yes,unfurnished
7268000,6537,2,2,2,yes,no,no,no,no,1,no,semi-furnished
6428000,4848,2,1,3,yes,no,yes,no,no,0,no,semi-furnished
7884000,7570,2,1,4,yes,no,yes,no,yes,0,no,unfurnished
5153000,5738,3,1,1,no,no,no,no,no,1,no,unfurnished
5315000,3287,3,1,2,yes,no,no,no,no,0,yes,unfurnished
7083000,5505,3,1,1,yes,yes,no,no,no,2,no,unfurnished
4144000,3152,3,1,2,yes,no,no,no,no,0,no,semi-furnished
7403000,6819,3,1,1,yes,no,no,no,no,0,yes,unfurnished
5153000,4617,2,1,2,yes,no,no,no,no,0,no,furnished
6683000,4363,3,1,2,yes,yes,no,no,yes,0,no,furnished
6103000,3542,4,1,2,yes,no,no,no,yes,0,yes,semi-furnished
9034000,7879,3,1,1,yes,yes,no,no,no,1,yes,semi-furnished
7469000,4419,3,1,3,yes,no,no,no,no,0,no,furnished
5646000,3939,3,1,1,no,yes,no,no,yes,2,no,semi-furnished
6450000,4067,3,1,2,yes,yes,no,no,yes,0,yes,semi-furnished
7587000,5897,4,1,3,yes,yes,no,no,yes,0,yes,semi-furnished
7270000,5497,4,1,3,yes,no,no,no,no,1,no,unfurnished
6789000,5608,3,1,2,yes,no,yes,no,yes,1,no,unfurnished
5612000,5650,3,1,1,yes,no,yes,no,no,0,no,semi-furnished
10124000,11592,2,2,1,no,no,yes,no,no,2,no,furnished
6913000,3975,2,2,2,yes,no,yes,no,no,2,no,unfurnished
4544000,3802,1,2,1,yes,no,no,no,no,0,no,semi-furnished
5922000,3350,3,1,1,yes,no,no,yes,no,0,yes,furnished
6832000,6107,2,2,2,yes,no,no,no,no,0,no,semi-furnished
6715000,7576,3,1,1,yes,no,no,no,no,0,no,semi-furnished
7203000,4495,3,1,2,yes,no,yes,no,no,2,yes,semi-furnished
6702000,3313,3,2,2,yes,no,no,no,yes,0,no,unfurnished
5891000,3335,3,1,3,no,no,no,no,no,2,no,semi-furnished
6990000,6197,2,1,1,yes,no,yes,no,yes,0,no,unfurnished
7166000,6443,3,1,3,yes,no,no,no,no,1,no,furnished
7881000,5923,5,2,4,yes,no,no,no,no,1,no,semi-furnished
5366000,3565,3,1,2,yes,no,no,no,no,0,no,semi-furnished
6573000,5198,4,1,1,yes,no,yes,no,yes,2,no,furnished
5176000,4952,3,1,1,no,no,no,no,no,0,no,unfurnished
7144000,5169,3,1,3,yes,yes,yes,no,no,0,no,unfurnished
7666000,6799,3,2,2,yes,no,no,no,yes,0,no,furnished
7294000,5179,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
5881000,6271,4,1,1,yes,yes,no,no,no,1,no,unfurnished
6874000,4851,3,2,4,yes,no,no,no,no,0,no,semi-furnished
7463000,5324,3,1,4,yes,no,yes,no,no,0,no,unfurnished
6236000,6147,4,2,1,yes,no,yes,no,no,0,no,unfurnished
6887000,2557,3,2,2,yes,no,yes,no,yes,2,no,semi-furnished
6192000,4123,2,1,2,no,yes,no,no,no,2,no,semi-furnished
6190000,3870,1,2,2,yes,no,no,no,no,0,no,unfurnished
6986000,3606,4,2,2,yes,yes,no,no,yes,2,no,unfurnished
5261000,4201,3,1,2,yes,no,no,no,no,1,no,unfurnished
8425000,8835,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
6332000,3278,3,2,2,yes,yes,yes,no,no,0,no,semi-furnished
7625000,7081,3,1,2,yes,yes,no,no,yes,0,no,furnished
5248000,2326,3,1,2,yes,no,no,no,no,0,no,furnished
7240000,4097,4,2,2,yes,no,no,no,no,2,no,unfurnished
6920000,5049,3,1,1,yes,yes,no,no,no,0,yes,furnished
6666000,6032,2,1,2,yes,no,no,no,no,0,no,semi-furnished
7846000,6357,3,1,2,no,no,no,no,yes,2,no,semi-furnished
8233000,6580,3,2,4,no,no,no,no,no,0,no,furnished
6497000,4073,3,2,2,yes,yes,yes,no,no,0,no,furnished
6571000,3883,2,2,1,yes,no,no,yes,yes,1,no,unfurnished
7931000,6761,4,2,1,yes,no,no,no,yes,0,no,semi-furnished
7243000,4351,2,1,4,yes,no,yes,yes,no,0,yes,furnished
4685000,2759,3,1,2,yes,no,no,no,no,0,no,unfurnished
6547000,2929,3,1,1,yes,no,yes,no,no,2,no,unfurnished
6025000,3205,4,1,2,yes,yes,no,no,yes,0,no,unfurnished
7544000,5810,3,2,1,yes,no,no,no,yes,0,no,semi-furnished
6138000,5006,3,1,1,yes,yes,yes,no,yes,1,no,furnished
6521000,6302,2,1,1,no,no,yes,no,no,0,no,semi-furnished
8253000,3941,3,2,2,yes,no,yes,yes,no,1,no,semi-furnished
6926000,5040,3,2,2,yes,no,no,yes,no,0,yes,semi-furnished
6726000,6132,4,1,1,yes,no,no,no,no,3,no,semi-furnished
6816000,4141,3,1,2,yes,yes,no,no,yes,1,yes,unfurnished
5807000,5712,2,1,2,yes,yes,no,no,no,1,no,semi-furnished
6151000,3571,4,1,1,no,yes,no,no,yes,1,no,furnished
5436000,4048,2,2,1,yes,no,no,no,no,0,no,unfurnished
4440000,4017,1,1,2,no,no,no,no,no,0,no,semi-furnished
6363000,2853,3,1,2,yes,no,yes,yes,yes,0,yes,semi-furnished
7302000,5785,2,1,1,yes,no,no,no,yes,2,yes,furnished
5226000,3872,2,1,2,yes,yes,no,no,yes,0,no,unfurnished
7019000,4740,5,2,2,yes,yes,no,no,no,0,no,semi-furnished
6982000,5770,4,1,1,yes,no,no,no,no,2,yes,semi-furnished
7746000,5688,3,1,2,yes,no,yes,no,yes,0,yes,unfurnished
7077000,6235,3,1,1,yes,no,yes,no,yes,2,no,unfurnished
6494000,4524,2,1,1,yes,yes,yes,no,no,1,yes,semi-furnished
6152000,3947,4,1,2,no,no,yes,no,no,0,no,furnished
7237000,4560,3,1,2,yes,no,no,no,yes,0,yes,unfurnished
6296000,2321,2,1,3,yes,no,no,no,no,0,yes,semi-furnished
5820000,2568,3,1,1,no,yes,no,no,no,0,yes,unfurnished
5509000,2705,3,1,2,yes,no,no,no,no,0,no,unfurnished
5034000,3102,2,1,1,no,no,no,no,no,2,no,semi-furnished
6005000,5577,2,1,2,yes,no,no,no,no,0,no,semi-furnished
5010000,3224,3,1,2,yes,yes,no,no,no,0,no,unfurnished
6217000,4023,3,1,3,yes,yes,no,no,no,0,no,semi-furnished
6975000,8137,1,1,2,no,no,no,no,no,0,yes,semi-furnished
5654000,4060,3,3,1,no,no,no,no,no,0,no,furnished
6957000,6427,2,1,2,yes,yes,no,no,no,0,no,semi-furnished
7804000,3186,3,2,4,yes,no,no,no,no,1,no,semi-furnished
6033000,4325,2,2,1,yes,yes,no,no,no,0,no,semi-furnished
4577000,3164,3,1,1,yes,no,yes,no,no,0,no,unfurnished
5831000,4089,3,1,2,yes,no,no,no,yes,0,no,unfurnished
7711000,6711,3,1,2,yes,no,yes,yes,no,3,no,semi-furnished
4853000,2283,2,1,1,yes,no,no,no,yes,1,no,unfurnished
7347000,5659,3,1,1,yes,no,yes,no,no,0,no,unfurnished
5472000,5210,4,1,1,yes,yes,no,no,no,0,no,unfurnished
4823000,3674,2,1,2,yes,no,no,no,no,0,no,unfurnished
5344000,2569,3,1,3,yes,no,yes,no,no,1,yes,unfurnished
7143000,4860,3,1,2,no,yes,no,no,yes,3,no,semi-furnished
6197000,3775,4,1,1,yes,no,yes,no,no,0,no,semi-furnished
6562000,5199,3,1,1,yes,no,yes,yes,no,2,no,semi-furnished
7819000,4759,4,2,3,yes,no,no,no,yes,2,no,furnished
9375000,9240,3,1,4,yes,yes,yes,no,no,1,no,unfurnished
6375000,4264,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
6234000,3068,3,2,2,yes,no,no,no,no,2,no,semi-furnished
8422000,5084,3,1,3,yes,yes,yes,no,no,1,yes,semi-furnished
6213000,5172,2,1,2,yes,no,no,no,no,0,no,semi-furnished
8044000,8345,3,1,1,yes,yes,no,no,yes,1,yes,semi-furnished
7735000,6696,3,1,1,no,no,no,no,yes,1,yes,semi-furnished
6079000,5478,3,1,1,yes,no,no,yes,no,0,no,unfurnished
8493000,8718,3,1,2,yes,no,no,no,yes,2,no,unfurnished
6076000,2862,4,1,1,yes,yes,no,no,no,2,no,semi-furnished
4844000,3604,2,1,1,yes,no,yes,no,no,0,yes,semi-furnished
5564000,3195,4,2,2,yes,no,no,no,no,0,no,unfurnished
7060000,4003,4,2,2,yes,yes,no,no,no,1,no,furnished
6847000,2645,4,1,2,yes,no,yes,no,no,2,yes,furnished
7016000,6157,3,1,2,yes,no,no,no,yes,1,no,semi-furnished
6093000,4295,3,1,2,yes,no,no,no,no,1,no,furnished
6207000,2542,4,2,1,yes,yes,no,no,no,1,no,semi-furnished
6149000,3078,3,1,4,no,no,yes,no,no,0,yes,furnished
5651000,5379,3,1,1,yes,no,yes,no,no,0,no,unfurnished
7370000,6705,2,1,2,yes,no,no,no,no,2,no,unfurnished
9452000,10907,2,1,2,yes,no,no,no,no,0,no,furnished
11001000,16033,3,1,2,yes,no,yes,no,yes,0,no,furnished
8048000,5612,3,1,3,yes,no,no,no,no,2,no,furnished
6683000,3112,3,2,2,yes,no,yes,no,no,0,no,semi-furnished
4392000,1926,4,1,1,yes,no,no,no,no,0,no,unfurnished
6004000,5276,2,1,2,yes,no,no,no,no,0,no,semi-furnished
5941000,3351,2,1,2,no,yes,no,no,no,0,yes,semi-furnished
6210000,3960,3,1,1,yes,yes,no,no,no,1,yes,unfurnished
6656000,3646,2,1,1,yes,no,yes,no,no,2,no,furnished
6054000,4444,3,1,3,yes,yes,yes,no,yes,0,no,unfurnished
7199000,7378,3,1,1,yes,no,no,no,no,2,no,semi-furnished
9289000,5037,5,1,4,yes,no,no,no,no,0,no,furnished
