ATM_ID,X_Coordinate_km,Y_Coordinate_km,Daily_Avg_Transactions,Cash_Utilization_Pct
ATM021,0.39,-2.87,195,89.6
ATM052,19.71,13.03,125,67.1
ATM049,20.51,11.36,115,62.4
ATM097,-13.05,-11.35,131,61.1
ATM139,-2.51,8.98,109,56.7
ATM079,3.84,13.16,171,83.5
ATM061,15.63,17.12,166,71.9
ATM076,5.33,15.94,141,63.3
ATM166,-5.29,3.2,40,23.2
ATM082,3.44,11.12,98,66.5
ATM119,-11.61,13.34,120,29.5
ATM146,-0.05,12.42,99,40.2
ATM022,-2.25,2.23,215,80.1
ATM151,4.68,-23.02,39,28.5
ATM100,-13.31,-8.2,107,54.5
ATM010,-1.14,-0.37,157,54.3
ATM027,-1.96,0.07,250,58.8
ATM039,0.67,1.72,222,78.4
ATM162,-11.72,5.2,16,24.2
ATM098,-13.11,-11.16,116,64.5
ATM141,-1.87,10.13,56,50.8
ATM007,-0.35,-1.38,198,62.1
ATM092,-15.66,-10.78,132,53.8
ATM155,-21.09,6.49,41,6.6
ATM064,13.3,15.87,157,52.2
ATM042,0.28,-1.36,187,82.4
ATM084,3.49,10.21,145,80.0
ATM031,0.39,-2.89,204,79.6
ATM108,-11.73,-8.63,115,66.9
ATM024,1.55,-1.13,177,74.4
ATM023,3.0,-0.0,265,75.1
ATM025,0.14,-1.46,226,65.5
ATM002,-2.0,0.42,225,71.2
ATM036,1.43,2.52,199,72.0
ATM107,-15.75,-10.46,96,50.7
ATM122,-10.84,12.07,112,39.7
ATM126,-10.1,10.13,98,57.0
ATM104,-15.66,-9.53,114,65.6
ATM073,7.3,15.05,78,79.5
ATM143,-0.58,10.67,132,65.6
ATM043,-0.93,-2.46,217,66.4
ATM013,-1.12,-1.4,226,65.5
ATM110,-10.96,-8.78,119,66.4
ATM070,9.15,15.64,131,69.2
ATM158,-1.55,10.64,36,17.9
ATM081,3.62,11.35,146,70.5
ATM074,6.35,14.78,226,61.4
ATM118,-13.45,13.22,73,49.1
ATM095,-14.13,-8.19,87,64.7
ATM121,-11.72,12.12,127,52.5
ATM106,-15.11,-8.8,100,39.4
ATM152,11.99,-1.99,32,15.0
ATM005,1.87,1.59,226,75.5
ATM127,-9.06,9.43,113,35.4
ATM114,-12.15,-10.96,138,49.7
ATM014,1.25,-1.94,200,78.8
ATM068,10.54,16.41,194,61.0
ATM069,10.43,16.66,151,67.4
ATM133,-6.21,9.77,75,50.1
ATM125,-10.93,11.02,91,52.5
ATM128,-8.51,9.29,46,59.0
ATM012,1.32,-1.03,225,73.5
ATM153,8.95,1.08,33,19.0
ATM011,-1.2,1.47,191,97.4
ATM145,-0.0,12.22,125,50.1
ATM033,-1.6,2.24,233,81.1
ATM088,-12.39,-9.58,112,44.5
ATM015,-3.43,1.19,207,84.3
ATM168,-16.94,23.75,18,22.2
ATM102,-13.81,-9.16,157,54.3
ATM087,-12.5,-8.86,124,67.7
ATM150,0.28,14.46,115,50.1
ATM001,0.51,-2.45,204,71.8
ATM163,-4.33,-1.27,38,25.6
ATM164,6.66,9.43,26,31.0
ATM066,11.67,16.46,112,71.4
ATM140,-2.57,10.5,109,53.1
ATM059,16.02,15.71,133,76.5
ATM085,3.77,9.16,117,70.3
ATM116,-11.81,13.94,68,35.9
ATM132,-6.54,9.38,106,46.7
ATM138,-3.15,9.5,105,61.2
ATM129,-8.09,8.69,121,40.8
ATM046,20.84,9.27,106,77.0
ATM099,-13.8,-10.11,136,68.0
ATM051,20.39,11.89,210,54.4
ATM109,-12.55,-11.85,114,49.8
ATM048,21.26,10.51,161,43.3
ATM009,1.52,1.7,241,72.2
ATM054,18.78,15.28,157,81.4
ATM170,-10.98,2.7,5,5.7
ATM148,0.92,13.69,66,49.5
ATM112,-12.2,-8.37,134,56.2
ATM134,-5.23,8.4,88,40.9
ATM123,-11.77,11.75,70,54.0
ATM103,-16.38,-10.74,109,60.5
ATM113,-12.3,-12.26,136,57.9
ATM045,1.28,-1.87,179,79.5
ATM137,-3.44,9.57,114,55.8
ATM086,-13.25,-9.41,128,51.0
ATM083,3.89,11.01,138,81.6
ATM008,0.12,-2.27,158,88.9
ATM131,-8.16,8.93,115,66.2
ATM159,-22.85,10.88,19,32.1
ATM135,-4.56,9.27,140,66.1
ATM004,-1.0,-2.73,223,75.7
ATM062,13.72,16.34,163,49.8
ATM130,-8.31,8.8,54,50.9
ATM077,5.14,13.44,117,70.2
ATM167,-5.47,15.52,39,31.3
ATM028,0.85,-0.0,182,64.5
ATM120,-12.27,12.38,62,41.7
