Applicant_ID,Age,Annual_Income,Loan_Amount,Credit_Score,Employment_Years,Num_Dependents,Existing_Loans,Home_Ownership,Purpose,Default
700001,27,33313.75,8658.87,806,11.8,0,0,Own,Auto,0
700002,26,66110.68,28103.22,587,3.9,1,1,Rent,Auto,1
700003,56,42544.55,1825.26,718,2.8,1,0,Mortgage,Home_Improvement,0
700004,43,88331.14,1000.0,735,6.6,0,0,Own,Debt_Consolidation,0
700005,47,28875.21,6581.7,426,5.5,3,1,Mortgage,Auto,1
700006,48,61376.58,1000.0,636,6.3,1,2,Mortgage,Other,0
700007,53,76325.33,14407.32,663,5.7,3,0,Rent,Debt_Consolidation,0
700008,22,25699.8,16709.02,633,7.0,1,2,Own,Debt_Consolidation,1
700009,42,61528.07,13692.65,526,7.5,2,0,Own,Auto,0
700010,27,62388.24,10629.39,638,10.0,2,3,Mortgage,Debt_Consolidation,0
700011,39,39335.48,5823.28,700,0.0,2,0,Rent,Home_Improvement,0
700012,62,53494.25,25621.53,688,14.2,1,2,Own,Home_Improvement,0
700013,45,82893.07,1000.0,552,15.2,3,2,Rent,Medical,0
700014,24,64711.13,23605.59,850,3.7,1,1,Own,Medical,0
700015,45,48615.54,18914.63,554,9.1,2,0,Rent,Other,1
700016,26,53616.04,15638.58,593,2.5,3,2,Own,Debt_Consolidation,0
700017,54,69555.48,20800.51,697,6.4,3,1,Mortgage,Other,0
700018,63,89528.27,1000.0,604,14.7,4,3,Rent,Home_Improvement,0
700019,65,77978.54,26101.32,598,13.9,1,1,Rent,Debt_Consolidation,0
700020,48,76391.78,21413.76,602,7.0,3,3,Mortgage,Debt_Consolidation,1
700021,60,96634.17,27446.84,639,19.3,1,0,Rent,Auto,0
700022,37,21047.88,1000.0,850,10.3,1,0,Rent,Auto,0
700023,27,23660.03,18819.19,623,0.0,2,3,Mortgage,Home_Improvement,1
700024,44,14000.0,14969.27,600,6.6,4,3,Rent,Medical,1
700025,40,78733.96,1000.0,546,17.4,2,2,Own,Auto,0
700026,50,14000.0,12937.17,669,9.3,1,2,Mortgage,Other,0
700027,65,57378.84,16814.71,702,15.2,0,3,Mortgage,Auto,1
700028,33,76711.5,8400.52,574,8.5,0,2,Own,Debt_Consolidation,0
700029,59,24539.38,20098.7,608,11.0,3,3,Own,Other,1
700030,27,42352.48,21910.2,683,18.2,4,3,Own,Home_Improvement,0
700031,36,51978.15,11780.24,596,7.4,3,2,Rent,Debt_Consolidation,1
