Customer_ID,Age,Gender,Marital_Status,Employment_Type,Occupation_Category,Annual_Income,Education_Level,Residential_Status,Years_At_Address,Region,Customer_Since_Days,Credit_Bureau_Score,Delinquency_Count_24m,Bankruptcy_Flag,Num_Credit_Inquiries_6m,Total_Debt,Debt_To_Income_Bureau,Oldest_Credit_Line_Years,Num_Bureau_Tradelines,Secondary_Phone,Alt_Email_Domain,LinkedIn_Verified,Referral_Code,Social_Media_Score,Preferred_Language,Secondary_Address_City,Emergency_Contact_Provided,Marketing_Opt_In_Channel,Employer_Verified_Source
800001,50,Male,Married,Self-Employed,Management,166372.72,High School,Own,4.9,Northeast,768,675.0,1.0,0.0,1.0,8146.66,0.049,0.1,3.0,XXX-XXX-5687,other,,,,,,,,
800002,36,Male,Single,Self-Employed,Skilled Trade,,Bachelors,Mortgage,0.8,West,1191,666.0,0.0,0.0,0.0,18429.05,,12.7,0.0,XXX-XXX-1460,,,REF382234,,,,,SMS,
800003,69,Female,Single,Unemployed,Skilled Trade,7218.74,High School,Mortgage,12.4,West,32,680.0,2.0,0.0,1.0,18977.92,2.629,24.2,11.0,,,,,70.3,,,,,ThirdParty
800004,40,Male,Divorced,Salaried,Management,52759.99,High School,Rent,1.0,South,407,609.0,0.0,0.0,1.0,2414.09,0.046,7.1,6.0,,,,,,,,,Email,
800005,15,Female,Married,Self-Employed,Skilled Trade,,Doctorate,Rent,2.6,West,395,642.0,1.0,0.0,4.0,41721.0,,17.7,7.0,,outlook,,REF745799,66.7,,,,,ThirdParty
800006,43,Female,Single,Unemployed,Management,,Bachelors,Rent,2.8,Midwest,704,,,,,,,,,,,,,,,,,,
800007,33,Female,Widowed,Salaried,Service,17827.18,Bachelors,Mortgage,8.9,Northeast,1382,710.0,0.0,0.0,1.0,2302.54,0.129,1.3,3.0,,,,,,English,,,,
800008,30,Female,Widowed,Unemployed,Management,13076.17,Doctorate,Rent,2.9,Midwest,206,,,,,,,,,,,,,,,,,,
800009,49,Female,Single,Salaried,Service,13719.47,Bachelors,Mortgage,4.4,South,3003,708.0,1.0,0.0,2.0,6249.27,0.456,1.1,8.0,,,,,,English,,,,
800010,47,Female,Married,Unemployed,Skilled Trade,9364.17,Masters,Rent,10.2,West,725,,,,,,,,,,,1,,,English,,,SMS,
