Customer_ID,Is_Fraud,Num_Devices_90d,New_Device_Flag,Failed_Login_Count_24h,Login_Count_24h,Session_Duration_Avg_Sec,IP_Country_Mismatch_Flag,Distance_From_Home_Km,Password_Reset_Count_90d,Browser_Change_Flag,VPN_Detected_Flag,Transaction_Amount,Transaction_Channel,Merchant_Category,Merchant_Risk_Score,Is_Foreign_Transaction,Transaction_Hour,Is_Weekend,Time_Since_Last_Transaction_Min,Transaction_Currency,Card_Present_Flag
800001,0,3.0,0,0,2,188.2,0,1.44,1,0.0,0.0,240.37,Wire,Cash Advance,41.4,0,2,0,134.9,USD,1
800002,0,,0,0,1,,0,1.79,0,,,72.69,POS,Travel,44.4,0,8,1,50.3,USD,1
800003,0,3.0,1,0,0,295.9,0,22.01,0,0.0,0.0,102.73,International,Utilities,21.6,0,2,0,32.4,USD,0
800004,1,2.0,0,0,1,329.0,0,27.17,0,0.0,0.0,3.86,Online,Grocery,37.7,0,19,0,599.1,USD,1
800005,0,,0,0,2,,0,1.59,0,,,20.78,POS,Cash Advance,26.2,0,19,0,77.7,USD,0
800006,0,,1,1,3,,0,4.76,0,,,31.27,POS,Online Retail,28.2,0,2,0,290.1,USD,0
800007,0,4.0,0,1,0,222.0,0,6.88,0,0.0,0.0,11.69,International,Restaurant,54.5,0,13,1,421.6,USD,1
800008,0,1.0,0,0,0,178.6,0,6.56,0,0.0,0.0,33.96,Online,Electronics,36.2,0,23,0,31.0,USD,0
800009,0,4.0,0,0,1,251.9,0,4.27,0,0.0,0.0,21.95,Online,Restaurant,30.0,0,14,1,77.5,USD,1
800010,0,,0,1,0,,0,5.73,0,,,23.66,ATM,Restaurant,45.5,1,18,1,220.8,Foreign,0
800011,0,1.0,0,0,1,190.9,0,1.85,0,0.0,0.0,45.22,Online,Grocery,14.8,0,2,0,2.3,USD,0
800012,0,,0,0,0,,0,5.6,0,,,50.92,POS,Restaurant,11.8,0,15,1,61.6,USD,1
800013,0,2.0,0,0,4,304.0,0,5.78,0,,1.0,133.83,Wire,Other,43.3,0,18,0,268.7,USD,0
800014,0,,0,0,0,,0,18.72,0,,,10.49,POS,Grocery,38.8,1,7,0,338.3,Foreign,0
800015,0,,0,0,0,,0,2.35,0,,,35.78,POS,Online Retail,24.4,0,5,0,89.1,USD,1
800016,0,2.0,0,0,1,287.3,0,20.03,1,0.0,0.0,79.17,International,Online Retail,32.0,0,8,0,27.5,USD,0
800017,0,1.0,0,0,1,312.4,0,0.89,1,0.0,0.0,24.82,Online,Other,12.4,0,16,0,61.9,USD,0
800018,0,1.0,0,0,1,402.3,0,0.08,0,0.0,0.0,50.75,Online,Cash Advance,18.7,0,13,1,215.5,USD,0
800019,0,,0,0,3,,0,6.37,0,,0.0,33.2,POS,Grocery,13.9,0,14,1,151.3,USD,1
800020,0,3.0,0,1,2,281.0,0,1.6,0,0.0,0.0,9.53,Online,Other,8.6,0,1,0,355.0,USD,0
800021,0,3.0,0,0,2,198.0,0,2.0,0,0.0,1.0,2.04,Online,Restaurant,78.6,0,9,1,435.2,USD,1
800022,1,1.0,1,0,1,,1,26.67,0,,,89.72,POS,Online Retail,46.5,1,3,0,642.8,Foreign,1
800023,0,,0,0,1,,0,2.02,0,,,61.76,POS,Utilities,21.1,0,10,0,446.6,USD,1
800024,0,3.0,0,0,0,353.7,0,13.41,0,0.0,0.0,61.49,Online,Travel,12.8,0,7,0,47.4,USD,0
800025,0,2.0,0,0,1,91.9,0,5.08,0,0.0,0.0,112.91,Online,Online Retail,44.0,0,20,0,227.3,USD,1
800026,0,2.0,1,0,2,233.6,0,2.55,0,0.0,0.0,31.93,Online,Online Retail,23.5,0,7,0,26.7,USD,0
800027,0,1.0,0,0,3,252.3,0,14.3,1,0.0,0.0,10014.05,Online,Electronics,48.1,0,21,0,39.5,USD,0
800028,0,3.0,0,0,1,178.7,0,8.0,0,0.0,0.0,32.31,Online,Online Retail,24.7,0,19,0,53.4,USD,1
800029,1,4.0,0,0,2,,0,8.3,0,,,77.38,POS,Online Retail,32.0,0,4,0,295.6,USD,0
800030,0,,0,0,2,,0,5.73,0,0.0,0.0,4364.32,POS,Travel,40.4,0,18,0,49.2,USD,0
800031,0,2.0,0,0,0,282.0,0,3.77,0,0.0,0.0,31.86,Online,Online Retail,15.6,0,4,1,73.7,USD,1
800032,0,,0,0,3,334.9,0,7.42,1,0.0,,110.83,Online,Electronics,39.3,0,1,0,646.5,USD,1
800033,0,2.0,0,0,1,194.1,0,2.86,1,,0.0,174.84,Online,Electronics,34.6,0,5,0,25.3,USD,1
800034,0,4.0,0,0,2,252.9,0,17.34,0,0.0,0.0,27.68,Online,Cash Advance,35.9,0,13,0,267.4,USD,0
800035,0,,0,0,2,,0,9.71,0,,,53.57,POS,Grocery,43.1,0,19,0,57.8,USD,1
800036,0,2.0,0,0,2,223.0,0,0.13,0,0.0,0.0,99.98,International,Utilities,5.7,0,22,0,234.2,USD,1
800037,0,,0,0,0,,0,15.18,0,0.0,,70.57,POS,Electronics,18.8,0,18,0,54.3,USD,0
800038,0,,1,0,1,,0,0.64,1,0.0,,2564.45,POS,Online Retail,39.1,0,7,0,93.0,USD,1
800039,0,,0,0,0,,0,1.5,0,,1.0,83.77,POS,Grocery,36.3,0,16,0,541.4,USD,0
800040,0,2.0,1,0,1,,0,15.09,0,,,105.27,POS,Grocery,31.3,0,2,0,510.7,USD,1
800041,0,,0,0,3,,0,11.85,0,,,41.63,POS,Grocery,14.4,0,18,0,550.7,USD,1
800042,0,,0,0,1,,0,3.78,0,,,35.28,POS,Other,67.8,0,7,0,546.6,USD,1
800043,0,2.0,0,0,0,106.6,0,6.08,1,0.0,0.0,43.34,Wire,Cash Advance,12.5,0,10,0,150.0,USD,0
800044,0,,0,0,0,219.6,0,1.66,0,,,133.7,POS,Electronics,41.9,0,20,1,136.7,USD,0
800045,0,,0,0,1,,0,7.87,0,,,25.42,ATM,Online Retail,70.6,0,1,0,173.0,USD,0
800046,0,4.0,1,0,3,334.2,0,3.35,1,0.0,0.0,31.01,Online,Other,4.8,0,5,0,7.5,USD,1
800047,0,2.0,0,0,0,206.5,0,0.69,2,0.0,0.0,31.8,International,Travel,20.2,0,1,0,88.7,USD,1
800048,0,3.0,0,0,2,233.1,0,0.3,0,0.0,0.0,322.45,Online,Other,24.4,0,1,0,128.0,USD,0
800049,0,1.0,0,0,2,244.2,0,12.63,0,,0.0,64.72,Online,Travel,58.1,0,22,0,74.8,USD,1
800050,0,2.0,0,0,2,81.6,0,2.27,0,0.0,0.0,21.93,Wire,Restaurant,53.5,0,7,0,171.0,USD,0
800051,0,,0,0,0,,0,5.34,1,,1.0,173.17,POS,Grocery,21.6,0,11,0,104.3,USD,0
800052,0,,0,0,2,,0,3.09,0,0.0,,106.14,POS,Grocery,7.8,1,5,1,66.7,Foreign,1
800053,0,,0,0,4,,0,4.1,0,,,78.05,POS,Restaurant,25.6,0,16,0,31.4,USD,0
800054,0,2.0,0,0,1,190.5,0,14.39,0,0.0,0.0,12.77,Online,Utilities,35.8,0,10,1,147.7,USD,1
800055,0,,0,0,2,,0,11.72,0,,,19.57,ATM,Other,14.1,0,0,0,252.7,USD,0
800056,0,4.0,0,1,1,286.5,0,7.18,0,0.0,0.0,10.66,International,Other,6.7,0,13,0,314.2,USD,0
800057,0,1.0,0,0,4,372.2,0,1.88,0,0.0,0.0,12.29,Online,Grocery,39.8,0,13,0,56.9,USD,1
800058,0,,0,1,0,,0,5.1,0,,,216.22,POS,Electronics,14.6,0,13,1,10.1,USD,0
800059,0,,0,0,5,,0,12.97,0,,,17.27,POS,Restaurant,22.3,0,5,0,195.1,USD,1
800060,0,2.0,0,0,1,223.2,0,1.91,0,0.0,0.0,44.25,Online,Travel,56.1,0,19,0,247.3,USD,1
800061,0,,0,0,2,,0,2.35,0,1.0,,61.51,POS,Cash Advance,32.9,0,13,0,1566.7,USD,1
