Customer_ID,True_Archetype
CUST_0000000,Young Starter
CUST_0000001,High-Value Multi-Product
CUST_0000002,Dormant At-Risk
CUST_0000003,Everyday Digital Transactor
CUST_0000004,Everyday Digital Transactor
CUST_0000005,High-Value Multi-Product
CUST_0000006,Affluent Low-Activity
CUST_0000007,High-Value Multi-Product
CUST_0000008,Dormant At-Risk
CUST_0000009,Everyday Digital Transactor
CUST_0000010,Everyday Digital Transactor
CUST_0000011,Everyday Digital Transactor
CUST_0000012,Everyday Digital Transactor
CUST_0000013,Everyday Digital Transactor
CUST_0000014,Young Starter
CUST_0000015,Young Starter
CUST_0000016,High-Value Multi-Product
CUST_0000017,Dormant At-Risk
CUST_0000018,Young Starter
CUST_0000019,High-Value Multi-Product
CUST_0000020,Everyday Digital Transactor
CUST_0000021,Affluent Low-Activity
CUST_0000022,Young Starter
CUST_0000023,Affluent Low-Activity
CUST_0000024,Affluent Low-Activity
CUST_0000025,Young Starter
CUST_0000026,Everyday Digital Transactor
CUST_0000027,High-Value Multi-Product
CUST_0000028,Young Starter
CUST_0000029,Young Starter
CUST_0000030,Young Starter
CUST_0000031,Everyday Digital Transactor
CUST_0000032,Affluent Low-Activity
CUST_0000033,Everyday Digital Transactor
CUST_0000034,Dormant At-Risk
CUST_0000035,Everyday Digital Transactor
CUST_0000036,Everyday Digital Transactor
CUST_0000037,Affluent Low-Activity
CUST_0000038,High-Value Multi-Product
CUST_0000039,Affluent Low-Activity
CUST_0000040,Everyday Digital Transactor
CUST_0000041,High-Value Multi-Product
CUST_0000042,Young Starter
CUST_0000043,High-Value Multi-Product
CUST_0000044,Young Starter
CUST_0000045,Dormant At-Risk
CUST_0000046,Affluent Low-Activity
CUST_0000047,Young Starter
CUST_0000048,Young Starter
CUST_0000049,High-Value Multi-Product
CUST_0000050,Everyday Digital Transactor
CUST_0000051,Young Starter
CUST_0000052,Affluent Low-Activity
CUST_0000053,Everyday Digital Transactor
CUST_0000054,Everyday Digital Transactor
CUST_0000055,Affluent Low-Activity
CUST_0000056,High-Value Multi-Product
CUST_0000057,Everyday Digital Transactor
CUST_0000058,High-Value Multi-Product
CUST_0000059,Young Starter
CUST_0000060,Young Starter
CUST_0000061,Young Starter
CUST_0000062,Young Starter
CUST_0000063,Affluent Low-Activity
CUST_0000064,Everyday Digital Transactor
CUST_0000065,Everyday Digital Transactor
CUST_0000066,Everyday Digital Transactor
CUST_0000067,Affluent Low-Activity
CUST_0000068,High-Value Multi-Product
CUST_0000069,Everyday Digital Transactor
CUST_0000070,Young Starter
CUST_0000071,Everyday Digital Transactor
CUST_0000072,High-Value Multi-Product
CUST_0000073,Young Starter
CUST_0000074,Affluent Low-Activity
CUST_0000075,High-Value Multi-Product
CUST_0000076,High-Value Multi-Product
CUST_0000077,High-Value Multi-Product
CUST_0000078,Young Starter
CUST_0000079,Affluent Low-Activity
CUST_0000080,Everyday Digital Transactor
CUST_0000081,High-Value Multi-Product
CUST_0000082,Young Starter
CUST_0000083,Everyday Digital Transactor
CUST_0000084,High-Value Multi-Product
CUST_0000085,Young Starter
CUST_0000086,Young Starter
CUST_0000087,Everyday Digital Transactor
CUST_0000088,Everyday Digital Transactor
CUST_0000089,Everyday Digital Transactor
CUST_0000090,Affluent Low-Activity
CUST_0000091,High-Value Multi-Product
CUST_0000092,Everyday Digital Transactor
CUST_0000093,Young Starter
CUST_0000094,Everyday Digital Transactor
CUST_0000095,Dormant At-Risk
CUST_0000096,Affluent Low-Activity
CUST_0000097,Everyday Digital Transactor
CUST_0000098,Affluent Low-Activity
CUST_0000099,Affluent Low-Activity
CUST_0000100,High-Value Multi-Product
CUST_0000101,Young Starter
CUST_0000102,Everyday Digital Transactor
CUST_0000103,Young Starter
CUST_0000104,High-Value Multi-Product
CUST_0000105,Everyday Digital Transactor
CUST_0000106,Young Starter
CUST_0000107,Dormant At-Risk
CUST_0000108,Everyday Digital Transactor
CUST_0000109,Young Starter
CUST_0000110,Dormant At-Risk
CUST_0000111,High-Value Multi-Product
CUST_0000112,Affluent Low-Activity
CUST_0000113,High-Value Multi-Product
CUST_0000114,Affluent Low-Activity
CUST_0000115,Dormant At-Risk
CUST_0000116,High-Value Multi-Product
CUST_0000117,Affluent Low-Activity
CUST_0000118,Everyday Digital Transactor
CUST_0000119,High-Value Multi-Product
CUST_0000120,Affluent Low-Activity
CUST_0000121,Young Starter
CUST_0000122,Dormant At-Risk
CUST_0000123,Young Starter
CUST_0000124,Dormant At-Risk
CUST_0000125,Everyday Digital Transactor
CUST_0000126,Everyday Digital Transactor
CUST_0000127,Everyday Digital Transactor
CUST_0000128,Affluent Low-Activity
CUST_0000129,Everyday Digital Transactor
CUST_0000130,High-Value Multi-Product
CUST_0000131,Young Starter
CUST_0000132,Everyday Digital Transactor
CUST_0000133,Everyday Digital Transactor
CUST_0000134,High-Value Multi-Product
CUST_0000135,Everyday Digital Transactor
CUST_0000136,High-Value Multi-Product
CUST_0000137,Young Starter
CUST_0000138,Young Starter
CUST_0000139,High-Value Multi-Product
CUST_0000140,Dormant At-Risk
CUST_0000141,Young Starter
CUST_0000142,Everyday Digital Transactor
CUST_0000143,High-Value Multi-Product
CUST_0000144,Everyday Digital Transactor
CUST_0000145,High-Value Multi-Product
CUST_0000146,Affluent Low-Activity
CUST_0000147,Everyday Digital Transactor
CUST_0000148,Young Starter
CUST_0000149,High-Value Multi-Product
CUST_0000150,Everyday Digital Transactor
CUST_0000151,High-Value Multi-Product
CUST_0000152,Young Starter
CUST_0000153,Dormant At-Risk
CUST_0000154,Young Starter
CUST_0000155,High-Value Multi-Product
CUST_0000156,Everyday Digital Transactor
CUST_0000157,Everyday Digital Transactor
CUST_0000158,Everyday Digital Transactor
CUST_0000159,Affluent Low-Activity
CUST_0000160,Everyday Digital Transactor
CUST_0000161,High-Value Multi-Product
CUST_0000162,High-Value Multi-Product
CUST_0000163,Affluent Low-Activity
CUST_0000164,Young Starter
CUST_0000165,Everyday Digital Transactor
CUST_0000166,Young Starter
CUST_0000167,Young Starter
CUST_0000168,Everyday Digital Transactor
CUST_0000169,High-Value Multi-Product
CUST_0000170,Everyday Digital Transactor
CUST_0000171,Young Starter
CUST_0000172,Young Starter
CUST_0000173,Everyday Digital Transactor
CUST_0000174,Affluent Low-Activity
CUST_0000175,Everyday Digital Transactor
CUST_0000176,Dormant At-Risk
CUST_0000177,High-Value Multi-Product
CUST_0000178,Dormant At-Risk
CUST_0000179,Affluent Low-Activity
CUST_0000180,High-Value Multi-Product
CUST_0000181,High-Value Multi-Product
CUST_0000182,High-Value Multi-Product
CUST_0000183,Young Starter
CUST_0000184,High-Value Multi-Product
CUST_0000185,Affluent Low-Activity
CUST_0000186,Affluent Low-Activity
CUST_0000187,Affluent Low-Activity
CUST_0000188,Everyday Digital Transactor
CUST_0000189,Everyday Digital Transactor
CUST_0000190,Everyday Digital Transactor
CUST_0000191,Young Starter
CUST_0000192,Affluent Low-Activity
CUST_0000193,Young Starter
CUST_0000194,Affluent Low-Activity
CUST_0000195,Young Starter
CUST_0000196,Affluent Low-Activity
CUST_0000197,Everyday Digital Transactor
CUST_0000198,High-Value Multi-Product
CUST_0000199,Young Starter
CUST_0000200,High-Value Multi-Product
CUST_0000201,Young Starter
CUST_0000202,Young Starter
CUST_0000203,Everyday Digital Transactor
CUST_0000204,Young Starter
CUST_0000205,Affluent Low-Activity
CUST_0000206,High-Value Multi-Product
CUST_0000207,High-Value Multi-Product
CUST_0000208,High-Value Multi-Product
CUST_0000209,Affluent Low-Activity
CUST_0000210,Everyday Digital Transactor
CUST_0000211,Everyday Digital Transactor
CUST_0000212,Affluent Low-Activity
CUST_0000213,Young Starter
CUST_0000214,Dormant At-Risk
CUST_0000215,Everyday Digital Transactor
CUST_0000216,High-Value Multi-Product
CUST_0000217,Dormant At-Risk
CUST_0000218,Affluent Low-Activity
CUST_0000219,Dormant At-Risk
CUST_0000220,High-Value Multi-Product
CUST_0000221,Everyday Digital Transactor
CUST_0000222,Young Starter
CUST_0000223,Young Starter
CUST_0000224,Young Starter
CUST_0000225,Affluent Low-Activity
CUST_0000226,Young Starter
CUST_0000227,Young Starter
CUST_0000228,High-Value Multi-Product
CUST_0000229,High-Value Multi-Product
CUST_0000230,Everyday Digital Transactor
CUST_0000231,Dormant At-Risk
CUST_0000232,High-Value Multi-Product
CUST_0000233,High-Value Multi-Product
CUST_0000234,Affluent Low-Activity
CUST_0000235,Affluent Low-Activity
CUST_0000236,Young Starter
CUST_0000237,Everyday Digital Transactor
CUST_0000238,Young Starter
CUST_0000239,High-Value Multi-Product
CUST_0000240,Everyday Digital Transactor
CUST_0000241,Everyday Digital Transactor
CUST_0000242,Everyday Digital Transactor
CUST_0000243,Young Starter
CUST_0000244,Affluent Low-Activity
CUST_0000245,Everyday Digital Transactor
CUST_0000246,Affluent Low-Activity
CUST_0000247,Young Starter
CUST_0000248,High-Value Multi-Product
CUST_0000249,Everyday Digital Transactor
CUST_0000250,Everyday Digital Transactor
CUST_0000251,Young Starter
CUST_0000252,Everyday Digital Transactor
CUST_0000253,Everyday Digital Transactor
CUST_0000254,Everyday Digital Transactor
CUST_0000255,Everyday Digital Transactor
CUST_0000256,Affluent Low-Activity
CUST_0000257,Dormant At-Risk
CUST_0000258,Young Starter
CUST_0000259,Everyday Digital Transactor
CUST_0000260,Affluent Low-Activity
CUST_0000261,Dormant At-Risk
CUST_0000262,Affluent Low-Activity
CUST_0000263,Affluent Low-Activity
CUST_0000264,Affluent Low-Activity
CUST_0000265,Affluent Low-Activity
CUST_0000266,High-Value Multi-Product
CUST_0000267,Everyday Digital Transactor
CUST_0000268,Everyday Digital Transactor
CUST_0000269,High-Value Multi-Product
CUST_0000270,Young Starter
CUST_0000271,Everyday Digital Transactor
CUST_0000272,Everyday Digital Transactor
CUST_0000273,High-Value Multi-Product
CUST_0000274,Everyday Digital Transactor
CUST_0000275,Dormant At-Risk
CUST_0000276,Affluent Low-Activity
CUST_0000277,Dormant At-Risk
CUST_0000278,Dormant At-Risk
CUST_0000279,High-Value Multi-Product
CUST_0000280,Young Starter
CUST_0000281,Everyday Digital Transactor
CUST_0000282,Affluent Low-Activity
CUST_0000283,Young Starter
CUST_0000284,Dormant At-Risk
CUST_0000285,Everyday Digital Transactor
CUST_0000286,Everyday Digital Transactor
CUST_0000287,Young Starter
CUST_0000288,Dormant At-Risk
CUST_0000289,High-Value Multi-Product
CUST_0000290,Affluent Low-Activity
CUST_0000291,Everyday Digital Transactor
CUST_0000292,Dormant At-Risk
CUST_0000293,Young Starter
CUST_0000294,Dormant At-Risk
CUST_0000295,High-Value Multi-Product
CUST_0000296,High-Value Multi-Product
CUST_0000297,High-Value Multi-Product
CUST_0000298,Dormant At-Risk
CUST_0000299,Everyday Digital Transactor
CUST_0000300,Young Starter
CUST_0000301,Everyday Digital Transactor
CUST_0000302,Dormant At-Risk
CUST_0000303,Dormant At-Risk
CUST_0000304,Dormant At-Risk
CUST_0000305,Everyday Digital Transactor
CUST_0000306,Everyday Digital Transactor
CUST_0000307,Everyday Digital Transactor
CUST_0000308,Affluent Low-Activity
CUST_0000309,High-Value Multi-Product
CUST_0000310,Young Starter
CUST_0000311,Everyday Digital Transactor
