Customer_ID,Cluster,Customer_Segment
CUST_0000000,0,Young Digital Starters
CUST_0000001,4,High-Value Multi-Product
CUST_0000002,3,At-Risk Declining Activity
CUST_0000003,2,Everyday Active Transactors
CUST_0000004,2,Everyday Active Transactors
CUST_0000005,4,High-Value Multi-Product
CUST_0000006,1,Affluent Low-Engagement
CUST_0000007,4,High-Value Multi-Product
CUST_0000008,3,At-Risk Declining Activity
CUST_0000009,2,Everyday Active Transactors
CUST_0000010,2,Everyday Active Transactors
CUST_0000011,2,Everyday Active Transactors
CUST_0000012,2,Everyday Active Transactors
CUST_0000013,2,Everyday Active Transactors
CUST_0000014,0,Young Digital Starters
CUST_0000015,0,Young Digital Starters
CUST_0000016,4,High-Value Multi-Product
CUST_0000017,3,At-Risk Declining Activity
CUST_0000018,0,Young Digital Starters
CUST_0000019,4,High-Value Multi-Product
CUST_0000020,2,Everyday Active Transactors
CUST_0000021,1,Affluent Low-Engagement
CUST_0000022,0,Young Digital Starters
CUST_0000023,1,Affluent Low-Engagement
CUST_0000024,1,Affluent Low-Engagement
CUST_0000025,0,Young Digital Starters
CUST_0000026,2,Everyday Active Transactors
CUST_0000027,4,High-Value Multi-Product
CUST_0000028,0,Young Digital Starters
CUST_0000029,0,Young Digital Starters
CUST_0000030,0,Young Digital Starters
CUST_0000031,2,Everyday Active Transactors
CUST_0000032,1,Affluent Low-Engagement
CUST_0000033,2,Everyday Active Transactors
CUST_0000034,3,At-Risk Declining Activity
CUST_0000035,2,Everyday Active Transactors
CUST_0000036,2,Everyday Active Transactors
CUST_0000037,1,Affluent Low-Engagement
CUST_0000038,4,High-Value Multi-Product
CUST_0000039,1,Affluent Low-Engagement
CUST_0000040,2,Everyday Active Transactors
CUST_0000041,4,High-Value Multi-Product
CUST_0000042,0,Young Digital Starters
CUST_0000043,4,High-Value Multi-Product
CUST_0000044,0,Young Digital Starters
CUST_0000045,3,At-Risk Declining Activity
CUST_0000046,1,Affluent Low-Engagement
CUST_0000047,0,Young Digital Starters
CUST_0000048,0,Young Digital Starters
CUST_0000049,4,High-Value Multi-Product
CUST_0000050,2,Everyday Active Transactors
CUST_0000051,0,Young Digital Starters
CUST_0000052,1,Affluent Low-Engagement
CUST_0000053,2,Everyday Active Transactors
CUST_0000054,2,Everyday Active Transactors
CUST_0000055,1,Affluent Low-Engagement
CUST_0000056,4,High-Value Multi-Product
CUST_0000057,2,Everyday Active Transactors
CUST_0000058,4,High-Value Multi-Product
CUST_0000059,0,Young Digital Starters
CUST_0000060,0,Young Digital Starters
CUST_0000061,0,Young Digital Starters
CUST_0000062,0,Young Digital Starters
CUST_0000063,1,Affluent Low-Engagement
CUST_0000064,2,Everyday Active Transactors
CUST_0000065,2,Everyday Active Transactors
CUST_0000066,2,Everyday Active Transactors
CUST_0000067,1,Affluent Low-Engagement
CUST_0000068,4,High-Value Multi-Product
CUST_0000069,2,Everyday Active Transactors
CUST_0000070,0,Young Digital Starters
CUST_0000071,2,Everyday Active Transactors
CUST_0000072,4,High-Value Multi-Product
CUST_0000073,0,Young Digital Starters
CUST_0000074,1,Affluent Low-Engagement
CUST_0000075,4,High-Value Multi-Product
CUST_0000076,4,High-Value Multi-Product
CUST_0000077,4,High-Value Multi-Product
CUST_0000078,0,Young Digital Starters
CUST_0000079,1,Affluent Low-Engagement
CUST_0000080,2,Everyday Active Transactors
CUST_0000081,4,High-Value Multi-Product
CUST_0000082,0,Young Digital Starters
CUST_0000083,2,Everyday Active Transactors
CUST_0000084,4,High-Value Multi-Product
CUST_0000085,0,Young Digital Starters
CUST_0000086,0,Young Digital Starters
CUST_0000087,2,Everyday Active Transactors
CUST_0000088,2,Everyday Active Transactors
CUST_0000089,2,Everyday Active Transactors
CUST_0000090,1,Affluent Low-Engagement
CUST_0000091,4,High-Value Multi-Product
CUST_0000092,2,Everyday Active Transactors
CUST_0000093,0,Young Digital Starters
CUST_0000094,2,Everyday Active Transactors
CUST_0000095,3,At-Risk Declining Activity
CUST_0000096,1,Affluent Low-Engagement
CUST_0000097,2,Everyday Active Transactors
CUST_0000098,1,Affluent Low-Engagement
CUST_0000099,1,Affluent Low-Engagement
CUST_0000100,4,High-Value Multi-Product
CUST_0000101,0,Young Digital Starters
CUST_0000102,2,Everyday Active Transactors
CUST_0000103,0,Young Digital Starters
CUST_0000104,4,High-Value Multi-Product
CUST_0000105,2,Everyday Active Transactors
CUST_0000106,0,Young Digital Starters
CUST_0000107,3,At-Risk Declining Activity
CUST_0000108,2,Everyday Active Transactors
CUST_0000109,0,Young Digital Starters
CUST_0000110,3,At-Risk Declining Activity
CUST_0000111,4,High-Value Multi-Product
CUST_0000112,1,Affluent Low-Engagement
CUST_0000113,4,High-Value Multi-Product
CUST_0000114,1,Affluent Low-Engagement
CUST_0000115,3,At-Risk Declining Activity
CUST_0000116,4,High-Value Multi-Product
CUST_0000117,1,Affluent Low-Engagement
CUST_0000118,2,Everyday Active Transactors
CUST_0000119,4,High-Value Multi-Product
CUST_0000120,1,Affluent Low-Engagement
CUST_0000121,0,Young Digital Starters
CUST_0000122,3,At-Risk Declining Activity
CUST_0000123,0,Young Digital Starters
CUST_0000124,3,At-Risk Declining Activity
CUST_0000125,2,Everyday Active Transactors
CUST_0000126,2,Everyday Active Transactors
CUST_0000127,2,Everyday Active Transactors
CUST_0000128,1,Affluent Low-Engagement
CUST_0000129,2,Everyday Active Transactors
CUST_0000130,4,High-Value Multi-Product
CUST_0000131,0,Young Digital Starters
CUST_0000132,2,Everyday Active Transactors
CUST_0000133,2,Everyday Active Transactors
CUST_0000134,4,High-Value Multi-Product
CUST_0000135,2,Everyday Active Transactors
CUST_0000136,4,High-Value Multi-Product
CUST_0000137,0,Young Digital Starters
CUST_0000138,0,Young Digital Starters
CUST_0000139,4,High-Value Multi-Product
CUST_0000140,3,At-Risk Declining Activity
CUST_0000141,0,Young Digital Starters
CUST_0000142,2,Everyday Active Transactors
CUST_0000143,4,High-Value Multi-Product
CUST_0000144,2,Everyday Active Transactors
CUST_0000145,4,High-Value Multi-Product
CUST_0000146,1,Affluent Low-Engagement
CUST_0000147,2,Everyday Active Transactors
CUST_0000148,0,Young Digital Starters
CUST_0000149,4,High-Value Multi-Product
CUST_0000150,2,Everyday Active Transactors
CUST_0000151,4,High-Value Multi-Product
CUST_0000152,0,Young Digital Starters
CUST_0000153,3,At-Risk Declining Activity
CUST_0000154,0,Young Digital Starters
CUST_0000155,4,High-Value Multi-Product
CUST_0000156,2,Everyday Active Transactors
CUST_0000157,2,Everyday Active Transactors
CUST_0000158,2,Everyday Active Transactors
CUST_0000159,1,Affluent Low-Engagement
CUST_0000160,2,Everyday Active Transactors
CUST_0000161,4,High-Value Multi-Product
