Claim_ID,Policy_Tenure_Months,Premium_Amount,Claim_Amount,Num_Prior_Claims,Claim_Response_Days,Customer_Age,Fraud
900001,11.1,544.98,2334.02,1,2.3,59,0
900002,46.9,460.08,3141.73,0,2.1,50,0
900003,183.9,951.49,3767.05,1,2.7,18,0
900004,7.3,1232.05,1260.6,2,5.8,46,0
900005,99.0,1061.18,2048.22,2,0.1,54,0
900006,150.1,419.45,5402.69,0,0.2,30,0
900007,42.8,1439.24,10252.01,2,9.1,64,0
900008,10.1,1250.26,4621.13,1,1.4,27,0
900009,138.3,300.0,2339.47,0,1.0,20,0
900010,53.9,1506.68,8894.64,3,0.2,19,0
900011,13.8,753.31,5244.7,0,1.1,48,0
900012,51.3,1202.13,2216.26,1,11.6,70,0
900013,32.6,906.88,281.61,2,0.6,66,0
900014,15.6,945.53,4820.91,0,12.5,46,0
900015,86.8,1074.16,4708.36,1,11.5,47,0
900016,18.5,1045.25,6578.28,1,9.2,49,0
900017,15.3,1376.42,2352.99,0,22.0,74,0
900018,56.8,1277.68,8653.65,1,0.0,46,0
900019,26.4,828.6,2122.67,0,0.4,37,0
900020,51.1,1372.51,3086.58,1,9.5,54,0
900021,45.2,1560.84,5090.22,0,33.5,79,0
900022,78.9,1182.76,4695.56,0,11.4,48,0
900023,1.0,1480.44,4179.12,0,26.7,74,0
900024,25.5,764.03,1297.75,0,48.9,71,0
900025,19.6,1710.07,4742.78,1,0.0,54,0
900026,33.2,1166.47,2627.18,1,3.0,61,0
900027,78.2,1136.98,6076.72,0,4.3,56,0
900028,41.8,804.61,1640.83,1,10.6,77,0
900029,1.3,1657.64,100.0,0,12.6,59,0
900030,100.2,1143.64,100.0,0,7.6,52,0
900031,6.1,1798.91,3999.14,1,19.3,30,0
900032,42.4,876.11,121.44,0,4.9,78,0
900033,4.7,1360.94,4358.98,0,22.5,60,0
900034,23.3,934.17,1393.23,1,9.3,34,0
900035,13.6,1039.18,4778.98,0,12.6,25,0
900036,1.0,1209.73,100.0,0,11.4,50,0
900037,16.9,1289.61,5572.94,0,4.7,44,0
900038,82.0,936.35,100.0,0,23.5,35,0
900039,10.3,567.48,7023.49,2,12.2,46,0
900040,1.0,1141.99,7052.4,0,11.5,35,0
900041,15.0,772.18,6187.58,0,9.7,48,0
900042,24.1,1787.22,2585.12,0,10.0,65,0
900043,30.1,1290.12,538.81,1,4.1,66,0
900044,18.3,1476.13,6689.24,0,3.7,45,0
900045,11.8,1052.86,100.0,1,4.3,78,0
900046,53.0,1149.85,1044.63,1,7.0,77,0
900047,40.3,2023.99,3222.89,0,1.0,26,0
900048,7.4,1085.45,5617.32,0,28.2,63,0
900049,1.0,939.37,100.0,1,2.7,31,0
900050,20.4,482.61,1316.44,4,9.3,53,0
900051,123.1,1547.1,4800.87,1,6.3,35,0
900052,56.9,1713.7,2782.74,1,34.1,27,0
900053,15.9,1106.81,8677.19,0,0.1,30,0
900054,73.5,1466.74,6952.74,0,14.3,45,0
900055,21.0,1461.63,1768.9,0,4.5,79,0
900056,57.8,633.61,6198.44,0,2.4,38,0
900057,2.9,1705.67,5949.6,0,6.4,79,0
900058,1.0,1152.07,6606.81,0,20.9,34,0
900059,5.5,1645.5,100.0,0,0.4,45,0
900060,18.5,1574.43,4263.06,1,4.5,41,0
900061,37.7,1055.2,4423.43,0,6.2,54,1
900062,94.9,2009.19,4076.93,1,4.2,72,0
900063,67.4,1136.64,100.0,1,21.8,56,0
900064,3.5,788.28,8542.45,2,3.7,33,1
900065,3.7,1841.08,884.13,2,6.3,67,0
900066,63.1,1197.54,6697.8,0,0.1,69,0
900067,69.2,823.63,3369.51,1,0.3,73,0
900068,23.7,466.89,1050.66,1,10.1,32,0
900069,49.6,1603.35,2593.34,1,2.8,27,0
900070,17.7,983.33,6361.53,0,12.0,32,0
900071,42.2,1111.38,2955.95,0,37.4,30,0
900072,19.5,1372.04,3826.27,0,7.8,48,0
900073,49.5,1807.36,100.0,1,21.1,76,0
900074,46.0,300.0,1465.32,1,9.4,37,0
900075,107.1,890.58,1562.95,0,0.3,78,0
900076,9.3,1097.75,2808.66,0,11.8,31,0
900077,1.7,1096.73,100.0,1,5.3,34,0
900078,20.6,943.85,2897.36,0,3.4,22,0
900079,4.7,1549.59,2530.86,1,14.1,27,0
900080,18.7,1011.56,5938.12,0,13.9,65,0
900081,65.1,1352.36,7796.52,0,2.3,79,0
900082,6.7,1375.62,1302.88,1,1.4,34,0
900083,61.7,715.73,702.72,0,9.4,66,0
900084,8.9,1608.54,9220.35,0,13.5,67,0
900085,56.5,1232.38,100.0,0,34.2,72,0
900086,67.3,1333.16,6144.7,0,1.3,50,1
900087,130.3,1245.07,3571.13,0,18.0,34,0
900088,56.9,570.12,4055.45,1,5.5,64,0
900089,1.0,1002.86,5188.56,0,12.8,79,0
900090,199.1,1867.22,1277.22,1,6.0,18,0
900091,7.9,1176.71,5056.44,1,7.0,49,0
900092,22.3,869.48,100.0,2,0.6,71,0
900093,76.0,443.34,3687.62,1,12.1,48,0
900094,36.3,1215.23,3458.21,1,5.7,71,0
900095,23.9,1200.9,5928.01,0,9.9,45,0
900096,1.0,1005.33,4479.28,0,38.2,64,0
900097,25.3,1298.0,2591.54,0,31.7,47,0
900098,15.7,738.89,4885.49,0,11.3,51,0
900099,72.3,439.37,1181.38,1,11.7,37,0
900100,5.1,889.06,1386.83,0,7.0,39,0
900101,67.0,1040.29,100.0,0,4.9,49,0
900102,109.8,1717.77,3713.92,0,3.1,64,0
900103,17.5,539.17,100.0,0,3.6,54,0
900104,6.8,1134.07,6438.73,0,6.5,22,0
900105,42.4,2136.2,554.18,1,9.1,42,0
900106,64.0,1667.59,7198.37,0,15.3,50,0
900107,47.0,1295.07,4586.58,0,3.6,72,0
900108,9.3,1137.84,6913.8,0,6.2,47,0
900109,6.1,1294.87,4556.55,2,4.6,68,0
900110,88.4,1476.2,944.04,0,13.8,59,0
900111,131.1,1488.34,2776.62,1,21.3,42,0
900112,1.0,1139.02,3000.68,1,8.6,57,0
900113,45.6,510.58,3377.28,0,49.9,21,0
900114,97.4,425.33,1503.06,0,5.4,38,0
900115,6.0,521.21,7849.09,0,13.9,40,1
900116,18.6,1341.2,5549.29,1,8.2,21,0
900117,55.2,850.56,4309.18,1,20.2,76,0
900118,27.9,1240.89,3105.8,0,23.0,38,0
900119,6.1,766.85,4477.76,1,16.7,54,0
900120,3.2,1431.87,3901.66,0,26.6,73,0
900121,104.6,1154.54,4124.59,0,7.3,44,0
900122,68.4,820.22,5138.23,2,1.1,56,0
900123,9.3,626.19,2908.07,0,26.2,32,0
900124,15.7,1610.12,3868.66,0,57.1,63,0
900125,25.7,500.37,5168.58,3,19.5,56,1
900126,106.9,1640.82,100.0,1,18.7,25,0
900127,56.1,930.21,2839.47,0,22.0,62,0
900128,25.2,1314.25,4055.94,0,14.2,39,0
900129,59.4,1132.82,5668.6,1,28.1,70,0
900130,1.0,1009.35,4762.94,0,6.2,61,0
900131,153.5,951.94,2701.16,1,0.1,46,0
900132,27.2,1349.26,5835.15,0,2.8,37,0
900133,12.9,1129.13,3466.7,0,5.7,76,0
900134,13.0,1236.89,2420.75,0,4.5,74,0
900135,46.7,1383.68,4769.82,0,11.7,46,0
900136,3.1,1404.91,4980.6,0,5.2,29,0
900137,31.6,1450.28,4064.44,0,1.8,32,0
900138,33.4,1031.05,3295.16,2,3.6,56,0
900139,121.0,610.32,4601.16,0,10.5,48,0
900140,17.1,913.65,2650.38,0,7.3,58,0
900141,1.4,1645.12,4274.05,0,15.3,51,0
900142,2.5,719.21,100.0,0,1.5,26,0
900143,82.5,1284.72,784.91,0,7.0,57,0
900144,36.3,1490.43,5466.52,0,7.6,61,0
900145,10.1,1167.91,1448.94,0,0.1,67,0
900146,68.4,1408.34,5791.13,1,0.6,39,0
900147,3.5,1773.48,100.0,0,3.7,41,0
900148,36.4,1559.73,714.17,0,3.0,61,0
900149,140.4,1906.04,3359.81,2,7.4,20,0
900150,1.0,1395.53,7019.43,0,7.5,40,0
900151,8.2,1048.32,3501.71,0,1.8,35,0
900152,31.2,1111.12,4013.87,0,31.7,59,0
900153,76.9,635.61,3198.27,2,4.4,36,0
900154,85.4,740.59,353.66,0,3.9,42,0
900155,32.3,1488.9,6839.36,0,6.9,78,0
900156,9.9,1294.26,7356.18,0,4.5,34,0
900157,125.9,1250.79,2798.31,1,2.6,36,0
900158,42.2,1292.47,1961.91,1,10.6,78,0
900159,10.2,1097.21,2134.8,1,6.8,33,0
900160,2.9,812.01,1348.51,1,6.5,39,0
900161,4.5,1638.86,4046.22,1,27.0,54,0
900162,43.1,1010.15,2755.5,0,8.7,67,0
900163,2.1,901.59,2321.41,0,34.5,75,0
900164,1.0,1075.25,100.0,2,8.6,32,0
900165,1.0,1311.62,6139.36,0,6.7,68,0
900166,66.2,1650.43,4250.43,0,4.9,25,0
900167,13.6,924.02,2551.78,2,8.2,24,0
900168,108.0,1251.18,3377.2,1,16.2,54,0
900169,52.0,1587.99,4342.11,1,4.7,65,0
900170,38.8,1061.6,100.0,0,24.7,74,0
900171,26.4,1865.18,3686.44,1,3.7,24,0
900172,69.9,1170.43,5169.61,0,12.3,26,0
900173,34.4,1271.12,4549.39,1,5.4,31,0
900174,71.8,810.49,147.62,0,11.5,34,0
900175,17.4,1631.55,2501.52,0,5.7,57,0
900176,15.0,1525.43,6497.88,1,0.2,33,0
900177,32.1,1244.28,10056.97,1,1.9,27,0
900178,2.5,914.88,2937.52,0,0.3,41,0
900179,10.8,1299.28,532.38,0,12.3,52,0
900180,21.6,1180.94,7352.8,0,12.9,62,0
900181,21.7,906.1,3044.5,1,2.3,32,0
