Customer_ID,Age,Tenure_Years,Balance,Avg_Monthly_Balance,Num_Products,Transactions_Per_Month,Avg_Transaction_Value,Digital_Engagement_Score,Credit_Utilization,Total_Deposits_YTD,Total_Withdrawals_YTD
500001,51,9.6,5078.81,5039.65,2,8.7,103.78,56.0,35.7,7124.55,5378.91
500002,23,2.9,383.56,322.88,1,21.1,40.91,89.0,20.8,5756.53,5200.23
500003,69,27.4,20168.58,11624.88,3,6.5,129.4,15.1,19.4,5620.2,3462.9
500004,39,7.0,7390.31,6179.31,2,12.5,37.69,45.9,17.3,3242.81,2232.87
500005,37,3.5,0.0,0.0,3,11.9,196.19,88.9,34.7,20447.71,10823.97
500006,45,3.1,1217.77,1136.89,1,4.8,35.36,1.1,75.6,1219.33,540.18
500007,38,5.2,1903.92,1588.39,2,18.1,105.51,49.1,50.5,13327.62,11574.01
500008,38,0.8,4371.26,3698.6,1,11.8,73.22,61.1,54.4,6182.83,6326.13
500009,32,7.2,879.62,667.97,1,0.0,98.71,31.5,86.6,0.0,0.0
500010,70,18.8,23026.64,21757.07,2,2.0,94.52,13.8,5.9,950.78,1218.53
500011,25,1.6,2157.77,1826.59,2,24.1,108.67,100.0,39.2,18626.31,21725.03
500012,31,3.1,1321.83,1421.64,1,21.9,42.68,73.0,0.0,5948.5,5618.73
500013,67,19.1,20733.3,25213.93,2,3.4,5.0,9.8,13.5,90.78,83.73
500014,46,1.9,11205.31,11781.59,3,25.0,148.4,36.4,49.9,22970.62,16425.2
500015,36,0.0,1308.79,1257.27,2,8.1,102.31,37.0,60.0,4516.72,4465.36
500016,51,9.9,12211.1,7917.95,6,32.4,274.77,40.5,76.4,57422.73,56835.32
500017,71,23.8,9627.19,9587.1,5,3.6,218.73,7.6,8.4,5087.03,2624.76
500018,27,3.6,2180.02,1976.92,2,25.2,12.87,87.4,51.1,2099.19,1881.02
500019,38,10.6,12780.75,13233.21,8,37.6,416.72,85.2,75.6,88290.92,102895.41
500020,19,3.9,1217.85,1312.9,1,21.1,103.65,81.1,59.3,10054.43,9623.88
500021,34,4.6,649.57,576.6,1,6.3,98.59,0.0,99.0,3493.43,3369.42
500022,48,4.7,3495.52,3770.98,2,7.1,82.77,51.9,36.2,3234.57,2104.01
500023,74,19.2,14665.54,13357.66,4,2.9,219.26,14.4,18.1,2865.23,2924.85
500024,21,0.9,1519.11,1320.95,2,29.1,41.61,71.9,25.7,8319.39,6866.47
500025,31,1.4,2951.07,2980.81,1,29.0,21.84,95.1,36.9,4346.7,4408.62
500026,65,19.7,22963.9,18708.17,3,5.8,150.9,9.0,0.0,6158.77,4973.73
500027,42,2.8,5702.62,4777.89,2,21.4,87.99,36.6,46.5,14491.96,10799.46
500028,49,4.4,15658.34,15468.43,5,22.5,122.4,43.7,39.9,22782.29,13040.67
500029,41,5.1,898.22,912.01,2,5.7,69.71,12.7,100.0,3403.94,2760.67
500030,36,0.0,5845.47,4605.29,2,16.2,23.11,27.1,53.4,2808.24,2574.2
500031,28,1.8,1360.78,1122.69,3,22.9,134.82,82.4,44.3,23737.82,20924.9
500032,46,2.6,748.82,574.46,3,13.5,183.56,37.3,14.6,13378.81,10737.82
500033,22,4.9,2535.12,2323.2,2,20.1,152.23,15.3,45.3,19407.11,20657.22
500034,50,5.2,148.6,137.45,1,1.6,85.09,22.6,64.5,842.21,741.38
500035,26,2.2,2399.96,2235.62,2,24.5,53.16,57.3,54.4,10155.44,7640.77
500036,43,7.9,4388.33,4711.21,3,6.0,135.34,80.0,40.5,5319.57,6742.31
500037,47,26.3,16919.83,15712.22,4,10.1,79.85,0.0,2.0,5953.06,5415.07
500038,34,8.6,3732.59,3483.75,2,3.6,92.85,55.7,35.2,2040.66,2283.27
500039,43,8.1,838.23,658.47,1,3.2,5.0,18.2,92.3,86.78,77.09
500040,33,5.8,3061.5,3004.45,2,17.6,163.3,61.2,23.3,18926.25,19133.95
500041,24,4.6,5461.66,5297.93,1,9.6,220.38,14.7,32.9,14833.77,11779.85
500042,42,10.1,0.0,0.0,3,14.9,48.51,32.5,29.6,5811.11,3003.45
500043,59,7.0,4516.02,4526.38,2,11.0,98.66,16.7,45.8,7277.39,4590.24
500044,28,2.7,1643.57,1453.33,2,29.3,191.77,77.4,69.2,31196.06,38962.66
500045,53,5.4,345.22,338.45,1,7.1,13.68,33.1,61.1,316.08,746.38
500046,63,29.7,16565.45,17758.7,4,8.8,340.21,3.2,22.3,22858.8,18147.71
500047,41,7.1,9289.84,8979.23,2,8.3,156.67,61.6,32.3,6518.65,5700.69
500048,40,6.7,3782.99,3518.14,2,11.0,82.23,52.9,41.1,6414.81,4601.66
500049,26,5.9,5925.67,5822.88,2,13.9,113.73,10.3,46.1,10169.05,11259.21
500050,54,2.4,0.0,0.0,2,6.0,86.13,20.8,99.6,3624.88,3114.84
500051,36,0.8,2952.82,2620.85,2,24.0,92.35,73.7,38.4,12043.54,14392.25
500052,51,18.9,28913.55,21922.02,4,3.8,156.11,0.0,41.1,4094.49,1462.81
500053,52,3.1,3656.1,3972.89,1,10.8,86.23,83.1,29.7,7420.14,3226.73
500054,44,7.7,4784.95,4060.46,2,15.2,108.05,46.0,46.5,12005.16,11284.39
500055,27,8.1,7062.99,7278.81,3,23.1,334.38,64.5,26.3,44150.96,51880.41
500056,70,28.7,18576.97,12682.87,3,7.1,258.68,32.2,8.8,14074.07,10217.8
