Age,Job,Marital,Education,Default,Balance,Housing_Loan,Personal_Loan,Contact,Day_of_Week,Month,Campaign,Pdays,Previous,Poutcome,Subscribed
31,services,married,tertiary,no,-1478,yes,no,cellular,tue,jun,2,438,3,failure,no
35,admin,married,secondary,no,-3000,yes,no,cellular,thu,may,7,-1,0,nonexistent,no
40,services,married,unknown,no,-1711,no,no,cellular,fri,jan,4,-1,0,nonexistent,no
48,blue-collar,married,tertiary,no,1206,no,no,unknown,wed,jul,4,-1,0,nonexistent,yes
49,admin,married,tertiary,no,-949,yes,no,cellular,fri,may,2,-1,0,nonexistent,no
30,student,married,secondary,no,6686,no,no,cellular,wed,jul,6,-1,0,nonexistent,no
37,management,married,tertiary,no,440,yes,no,cellular,wed,may,2,99,2,failure,no
58,blue-collar,married,secondary,no,-476,yes,no,unknown,mon,jul,1,-1,0,nonexistent,no
28,housemaid,divorced,primary,no,4935,no,no,cellular,mon,feb,4,-1,0,nonexistent,no
32,admin,married,secondary,no,4066,yes,no,cellular,mon,aug,1,-1,0,nonexistent,no
38,blue-collar,married,secondary,no,4380,yes,no,cellular,fri,aug,4,20,4,success,yes
43,admin,single,secondary,no,2366,no,no,unknown,thu,may,2,204,3,other,no
40,student,married,secondary,no,2863,yes,no,unknown,thu,oct,3,-1,0,nonexistent,no
37,blue-collar,single,secondary,no,7214,yes,no,unknown,tue,feb,3,696,4,failure,no
22,self-employed,married,unknown,no,1239,yes,no,cellular,thu,may,2,-1,0,nonexistent,no
29,admin,married,tertiary,no,-1161,no,no,cellular,mon,jun,2,633,3,success,yes
68,management,married,tertiary,no,860,yes,no,unknown,wed,jan,8,-1,0,nonexistent,no
54,blue-collar,divorced,secondary,no,1894,no,no,cellular,tue,feb,3,-1,0,nonexistent,no
46,housemaid,divorced,secondary,no,-3000,yes,yes,cellular,tue,jul,3,-1,0,nonexistent,no
54,management,married,primary,no,-1067,yes,no,cellular,fri,oct,4,-1,0,nonexistent,no
43,technician,divorced,secondary,no,4451,no,no,cellular,mon,nov,2,-1,0,nonexistent,no
39,admin,married,secondary,no,194,yes,no,cellular,fri,sep,3,108,3,success,no
32,technician,single,primary,no,306,yes,no,cellular,fri,jun,4,-1,0,nonexistent,no
39,blue-collar,single,secondary,no,-1855,yes,no,cellular,tue,jun,2,-1,0,nonexistent,no
35,management,married,secondary,no,-569,yes,no,cellular,tue,may,2,-1,0,nonexistent,no
26,technician,married,tertiary,no,2458,yes,no,unknown,fri,mar,4,-1,0,nonexistent,no
30,services,married,secondary,no,5764,no,yes,unknown,thu,aug,4,-1,0,nonexistent,no
23,admin,married,tertiary,no,-2694,yes,no,cellular,wed,apr,4,-1,0,nonexistent,no
30,technician,married,secondary,no,2909,yes,no,cellular,thu,jul,2,-1,0,nonexistent,no
36,blue-collar,married,secondary,no,-2230,no,yes,unknown,tue,apr,3,-1,0,nonexistent,no
31,services,single,secondary,no,4915,yes,yes,cellular,tue,may,5,-1,0,nonexistent,no
31,blue-collar,single,secondary,no,345,yes,no,cellular,tue,may,4,-1,0,nonexistent,no
37,services,married,secondary,no,1087,no,no,telephone,tue,aug,4,744,4,failure,no
49,technician,married,secondary,no,1576,no,no,cellular,wed,jul,4,-1,0,nonexistent,no
31,technician,divorced,secondary,no,1921,yes,no,unknown,wed,aug,2,-1,0,nonexistent,no
80,management,married,secondary,no,-565,yes,no,cellular,thu,aug,4,-1,0,nonexistent,no
37,blue-collar,married,tertiary,no,1440,yes,yes,cellular,mon,aug,2,-1,0,nonexistent,no
32,blue-collar,married,tertiary,no,3187,yes,no,cellular,fri,aug,2,400,3,failure,no
55,admin,single,secondary,no,1087,no,no,cellular,fri,may,3,78,4,failure,no
49,management,married,tertiary,no,6440,no,no,cellular,tue,aug,2,-1,0,nonexistent,no
49,blue-collar,divorced,tertiary,no,4968,yes,no,cellular,tue,feb,4,-1,0,nonexistent,no
