Customer_ID,Annual_Income,Monthly_Income,Income_Growth_Rate_Pct,Disposable_Income,Total_Debt,Credit_Card_Debt,Debt_to_Income_Ratio,Number_of_Credit_Lines,Payment_History_Score,Late_Payments_Count,Avg_Days_Late,On_Time_Payment_Pct,Credit_Utilization_Pct,Total_Credit_Limit,Available_Credit,Oldest_Account_Age_Years,Avg_Account_Age_Years,Employment_Tenure_Years
900001,106703.48,8958.29,5.26,32315.51,2991.99,4043.96,24.4,6,818.03,1,1.53,100.0,39.29,15114.83,9831.65,7.15,4.14,11.25
900002,15000.0,1254.08,-1.66,4218.79,82130.77,14523.58,60.4,5,663.72,5,9.75,89.8,71.56,24136.98,11148.08,17.04,7.16,6.19
900003,52365.22,4410.98,-1.27,17028.29,25380.41,5706.69,33.24,5,707.49,4,5.82,89.6,46.49,18404.69,7830.44,10.94,4.51,3.52
900004,100525.72,8382.98,4.41,27801.46,13362.41,8802.24,26.26,6,414.6,7,10.38,63.35,53.32,17288.51,11954.78,8.67,6.6,7.96
900005,34870.62,2913.93,1.6,9437.39,64450.7,9495.7,41.79,7,605.93,4,10.98,89.62,49.09,20631.38,3386.16,14.84,10.31,8.67
900006,64853.19,5457.03,4.35,19121.69,43139.49,5257.94,32.59,7,733.6,4,1.64,95.17,39.7,18013.33,16212.13,16.68,8.8,8.67
900007,89198.13,7389.86,0.25,20306.09,4557.21,6021.3,21.87,7,596.71,9,10.1,78.72,35.05,23493.53,14917.69,11.55,6.92,6.74
900008,39205.65,3273.23,4.29,7821.49,70775.43,10139.85,49.7,7,525.52,8,5.34,77.68,63.55,19608.35,10078.47,17.1,7.83,9.44
900009,94117.2,7906.09,8.25,15490.33,23825.1,3070.62,17.92,5,703.57,4,5.22,86.79,42.35,21287.44,7656.31,5.98,2.59,6.52
900010,112359.24,9245.65,6.69,26700.52,0.0,2961.76,16.48,8,739.76,0,5.89,100.0,10.36,29842.56,18018.88,15.0,8.2,11.08
900011,89200.3,7541.15,3.68,15839.26,23093.77,5141.12,28.99,6,749.13,0,0.0,100.0,26.17,27431.6,21192.57,21.77,9.18,13.11
900012,105384.66,8772.67,7.46,21461.36,19585.21,5117.36,23.61,9,722.05,1,12.45,91.18,19.99,28840.12,15029.67,18.85,8.56,9.51
900013,57070.62,4742.15,2.55,12442.59,32920.96,5618.04,30.14,3,610.55,1,4.92,88.96,43.85,14838.09,4992.4,8.38,4.45,9.46
900014,47127.8,3902.9,2.14,9947.22,31172.37,9385.6,38.55,3,510.46,10,10.77,65.84,79.31,19601.5,0.0,4.41,2.3,2.77
900015,85754.54,7166.95,6.46,21021.58,22463.75,4329.58,16.24,4,808.84,0,0.0,100.0,28.4,13240.04,11453.1,5.65,3.15,2.61
900016,44819.06,3765.47,0.84,3712.12,52436.36,11271.55,39.87,3,484.02,6,9.84,71.77,75.2,9703.16,1184.08,10.52,5.65,7.44
900017,93657.85,7700.93,7.17,23431.2,17356.05,4280.35,28.17,4,507.46,8,15.49,77.61,51.31,9918.96,8535.57,9.19,6.34,6.57
900018,80567.85,6667.5,3.02,15499.97,29809.44,6611.14,35.14,7,622.17,8,4.25,84.93,47.93,22834.5,17048.57,14.37,7.12,8.32
900019,39396.67,3329.75,0.88,8172.15,55176.33,8487.34,39.33,1,663.87,1,0.0,96.29,50.03,8199.66,0.0,0.52,1.64,3.24
900020,97540.89,8260.58,1.0,20246.41,13567.88,2525.72,20.77,6,609.56,9,2.01,84.18,46.44,26575.22,14010.85,7.82,8.85,7.15
900021,81688.71,6749.67,3.87,21457.41,11985.85,6021.14,33.7,4,645.88,6,8.11,86.75,38.5,18621.16,10025.05,8.15,3.5,8.5
900022,54902.04,4530.09,5.02,5973.77,55153.29,9444.35,40.48,5,362.96,11,14.37,71.04,66.9,7648.26,5278.15,7.36,4.28,7.74
900023,52852.52,4334.48,1.28,10588.32,43861.85,6182.1,34.23,6,655.26,1,9.26,85.93,46.57,18024.09,11661.37,14.39,5.27,7.23
900024,68766.56,5745.21,5.15,10708.7,28136.65,2340.15,35.57,6,708.15,5,7.25,95.65,41.42,27200.42,16198.42,13.1,6.16,7.46
900025,32085.07,2653.16,1.37,8539.1,48076.26,7649.02,40.68,5,756.37,1,1.6,99.69,46.78,13231.06,3350.13,9.33,6.28,8.59
900026,46024.36,3871.77,3.1,3565.72,56234.81,6897.5,27.85,4,631.77,3,0.86,93.55,58.65,4475.38,2131.64,7.64,0.71,4.25
900027,84352.85,7075.89,7.84,23064.12,3338.88,4562.87,30.62,7,664.85,2,7.57,81.54,41.81,24751.82,19495.61,12.86,5.63,9.1
900028,83732.29,6993.64,8.5,22113.18,29004.39,6557.27,24.21,9,758.96,1,0.19,100.0,34.12,25233.33,14312.18,17.45,9.03,11.7
900029,96475.5,7989.22,2.63,24151.93,24199.19,3876.65,25.96,8,440.72,13,14.99,77.98,34.9,17977.71,9832.84,11.2,8.36,5.48
900030,81588.44,6716.14,7.28,17658.23,19819.22,4313.72,31.5,4,632.98,2,1.71,88.16,30.25,15383.04,5940.06,2.2,4.37,5.63
900031,101037.5,8288.26,7.22,30121.53,10147.97,911.27,20.82,8,747.51,1,0.0,97.45,33.53,31193.78,26941.84,15.92,9.4,12.49
900032,47523.11,3988.59,2.21,9027.49,45615.61,5453.13,33.15,6,775.69,1,0.05,98.55,34.21,18204.36,14790.14,15.48,9.9,13.95
900033,97285.5,8221.32,5.07,18209.51,12878.34,2525.55,31.12,7,757.41,2,1.82,98.98,35.66,34726.01,21099.6,18.56,8.83,10.46
900034,96132.83,8047.19,5.98,25269.83,24660.22,5667.62,8.88,6,681.07,1,6.47,94.27,21.1,25504.4,17014.32,14.12,9.78,7.5
900035,85930.07,7027.63,7.77,21164.47,38044.73,2665.05,31.24,7,573.36,6,7.77,80.27,24.58,26766.7,19846.07,17.33,8.15,14.25
900036,113096.33,9521.04,7.88,28329.96,0.0,1161.57,13.81,3,642.18,4,13.54,80.82,30.2,15593.98,9756.92,6.69,3.07,1.07
900037,45248.47,3806.18,8.29,14353.73,44977.17,6552.1,32.83,5,733.68,0,9.6,100.0,34.78,20093.19,13276.3,12.04,7.89,7.16
900038,73413.06,6138.48,4.85,14663.98,19369.81,7987.03,32.42,5,605.82,4,5.64,82.14,63.86,9119.79,5775.05,6.25,2.38,5.57
