Movie_ID,Title,Genre
0,Action Movie 1,Action
1,Action Movie 2,Action
2,Action Movie 3,Action
3,Action Movie 4,Action
4,Comedy Movie 1,Comedy
5,Comedy Movie 2,Comedy
6,Comedy Movie 3,Comedy
7,Comedy Movie 4,Comedy
8,Drama Movie 1,Drama
9,Drama Movie 2,Drama
10,Drama Movie 3,Drama
11,Drama Movie 4,Drama
12,Romance Movie 1,Romance
13,Romance Movie 2,Romance
14,Romance Movie 3,Romance
15,Romance Movie 4,Romance
16,Sci-Fi Movie 1,Sci-Fi
17,Sci-Fi Movie 2,Sci-Fi
18,Sci-Fi Movie 3,Sci-Fi
19,Sci-Fi Movie 4,Sci-Fi
