User_ID,True_Favorite_Genre
User_0,Action
User_1,Romance
User_2,Drama
User_3,Sci-Fi
User_4,Comedy
User_5,Drama
User_6,Drama
User_7,Romance
User_8,Romance
User_9,Romance
User_10,Drama
User_11,Drama
User_12,Action
User_13,Drama
User_14,Drama
User_15,Romance
User_16,Comedy
User_17,Romance
User_18,Drama
User_19,Romance
User_20,Romance
User_21,Action
User_22,Action
User_23,Drama
User_24,Action
User_25,Comedy
User_26,Comedy
User_27,Sci-Fi
User_28,Action
User_29,Drama
User_30,Romance
User_31,Action
User_32,Sci-Fi
User_33,Action
User_34,Action
User_35,Drama
User_36,Action
User_37,Sci-Fi
User_38,Comedy
User_39,Drama
User_40,Comedy
User_41,Action
User_42,Drama
User_43,Drama
User_44,Comedy
User_45,Action
User_46,Romance
User_47,Romance
User_48,Romance
User_49,Comedy
User_50,Drama
User_51,Romance
User_52,Drama
User_53,Action
User_54,Action
User_55,Action
User_56,Drama
User_57,Romance
User_58,Drama
User_59,Drama
User_60,Sci-Fi
User_61,Romance
User_62,Drama
User_63,Action
User_64,Drama
User_65,Action
User_66,Romance
User_67,Sci-Fi
User_68,Sci-Fi
User_69,Romance
User_70,Romance
User_71,Action
User_72,Action
User_73,Action
User_74,Sci-Fi
User_75,Comedy
User_76,Comedy
User_77,Romance
User_78,Drama
User_79,Sci-Fi
User_80,Romance
User_81,Sci-Fi
User_82,Sci-Fi
User_83,Romance
User_84,Sci-Fi
User_85,Comedy
User_86,Romance
User_87,Drama
User_88,Comedy
User_89,Drama
User_90,Romance
User_91,Romance
User_92,Romance
User_93,Sci-Fi
User_94,Sci-Fi
User_95,Romance
User_96,Comedy
User_97,Sci-Fi
User_98,Romance
User_99,Romance
User_100,Romance
User_101,Drama
User_102,Romance
User_103,Action
User_104,Drama
User_105,Sci-Fi
User_106,Drama
User_107,Drama
User_108,Action
User_109,Action
User_110,Drama
User_111,Action
User_112,Sci-Fi
User_113,Drama
User_114,Comedy
User_115,Action
User_116,Sci-Fi
User_117,Romance
User_118,Sci-Fi
User_119,Action
User_120,Comedy
User_121,Comedy
User_122,Sci-Fi
User_123,Action
User_124,Romance
User_125,Romance
User_126,Action
User_127,Comedy
User_128,Drama
User_129,Comedy
User_130,Romance
User_131,Sci-Fi
User_132,Romance
User_133,Comedy
User_134,Drama
User_135,Action
User_136,Action
User_137,Action
User_138,Drama
User_139,Comedy
User_140,Comedy
User_141,Romance
User_142,Drama
User_143,Drama
User_144,Romance
User_145,Sci-Fi
User_146,Romance
User_147,Comedy
User_148,Comedy
User_149,Action
User_150,Sci-Fi
User_151,Romance
User_152,Sci-Fi
User_153,Comedy
User_154,Comedy
User_155,Drama
User_156,Drama
User_157,Comedy
User_158,Romance
User_159,Comedy
User_160,Sci-Fi
User_161,Action
User_162,Romance
User_163,Action
User_164,Drama
User_165,Comedy
User_166,Sci-Fi
User_167,Comedy
User_168,Romance
User_169,Comedy
User_170,Romance
User_171,Romance
User_172,Comedy
User_173,Comedy
User_174,Action
User_175,Drama
User_176,Sci-Fi
User_177,Drama
User_178,Comedy
User_179,Action
User_180,Drama
User_181,Comedy
User_182,Comedy
User_183,Action
User_184,Romance
User_185,Comedy
User_186,Comedy
User_187,Drama
User_188,Drama
User_189,Sci-Fi
User_190,Sci-Fi
User_191,Action
User_192,Sci-Fi
User_193,Sci-Fi
User_194,Comedy
User_195,Drama
User_196,Drama
User_197,Action
User_198,Romance
User_199,Comedy
User_200,Sci-Fi
User_201,Comedy
User_202,Sci-Fi
User_203,Action
User_204,Sci-Fi
User_205,Comedy
User_206,Drama
User_207,Comedy
User_208,Action
User_209,Comedy
User_210,Sci-Fi
User_211,Drama
User_212,Sci-Fi
User_213,Romance
User_214,Romance
User_215,Sci-Fi
User_216,Romance
User_217,Action
User_218,Comedy
User_219,Drama
User_220,Action
User_221,Sci-Fi
User_222,Sci-Fi
User_223,Action
User_224,Drama
User_225,Comedy
User_226,Sci-Fi
User_227,Action
User_228,Romance
User_229,Drama
User_230,Drama
User_231,Romance
User_232,Drama
User_233,Comedy
User_234,Comedy
User_235,Drama
User_236,Action
User_237,Action
User_238,Sci-Fi
User_239,Romance
User_240,Romance
User_241,Sci-Fi
User_242,Romance
User_243,Sci-Fi
User_244,Drama
User_245,Comedy
User_246,Sci-Fi
User_247,Comedy
User_248,Romance
User_249,Romance
User_250,Comedy
User_251,Romance
User_252,Action
User_253,Comedy
User_254,Romance
User_255,Comedy
User_256,Comedy
User_257,Sci-Fi
User_258,Sci-Fi
User_259,Drama
User_260,Sci-Fi
User_261,Romance
User_262,Comedy
User_263,Romance
User_264,Comedy
User_265,Comedy
User_266,Sci-Fi
User_267,Comedy
User_268,Drama
User_269,Action
User_270,Sci-Fi
User_271,Drama
User_272,Action
User_273,Action
User_274,Drama
User_275,Romance
User_276,Romance
User_277,Sci-Fi
User_278,Romance
User_279,Drama
User_280,Romance
User_281,Sci-Fi
User_282,Drama
User_283,Action
User_284,Action
User_285,Comedy
User_286,Romance
User_287,Comedy
User_288,Comedy
User_289,Sci-Fi
User_290,Drama
User_291,Comedy
User_292,Romance
User_293,Action
User_294,Drama
User_295,Action
User_296,Romance
User_297,Comedy
User_298,Romance
User_299,Romance
