Customer_ID,Status_Checking_Acc,Duration_in_Months,Credit_History,Purposre_Credit_Taken,Credit_Amount,Savings_Acc,Years_At_Present_Employment,Inst_Rt_Income,Marital_Status_Gender,Other_Debtors_Guarantors,Current_Address_Yrs,Property,Age,Other_Inst_Plans ,Housing,Num_CC,Job,Dependents,Telephone,Foreign_Worker,Default_On_Payment
100001,A13,18,A34,A40,2970,A61,A73,2,A92,A101,1,A122,30,A143,A152,1,A173,1,A191,A201,0
100002,A14,21,A32,A45,9473,A65,A75,4,A92,A101,3,A123,41,A143,A152,1,A173,1,A192,A201,0
100003,A11,16,A34,A40,3006,A61,A74,3,A92,A102,2,A122,30,A143,A152,1,A173,1,A191,A201,1
100004,A14,11,A32,A43,1070,A61,A73,3,A93,A101,4,A124,25,A143,A152,1,A174,1,A191,A201,1
100005,A14,14,A34,A40,1643,A61,A75,3,A92,A101,1,A122,19,A143,A153,2,A173,1,A192,A201,0
100006,A12,10,A30,A43,1555,A61,A72,2,A93,A101,2,A123,25,A143,A152,2,A172,1,A191,A201,0
100007,A14,19,A32,A40,727,A61,A72,4,A93,A102,1,A122,75,A143,A152,1,A172,2,A191,A201,1
100008,A14,38,A32,A49,1334,A61,A73,4,A93,A101,2,A122,30,A143,A152,1,A174,1,A192,A201,1
100009,A14,14,A32,A42,1262,A65,A73,2,A93,A101,2,A124,27,A143,A152,2,A173,1,A192,A201,0
100010,A14,13,A32,A46,1898,A65,A72,4,A93,A102,4,A123,44,A143,A152,2,A172,1,A192,A201,0
100011,A14,24,A34,A40,1851,A61,A72,1,A92,A101,3,A124,30,A143,A152,2,A173,2,A192,A201,1
100012,A13,22,A34,A40,2773,A61,A71,2,A93,A101,4,A121,52,A143,A152,1,A174,1,A192,A201,0
100013,A11,19,A34,A43,3477,A61,A73,2,A92,A101,4,A123,22,A143,A152,1,A173,1,A191,A201,0
100014,A13,11,A34,A49,3355,A62,A74,4,A92,A101,1,A124,20,A143,A152,1,A174,1,A191,A201,1
100015,A14,18,A32,A43,2576,A61,A72,1,A93,A101,1,A123,48,A141,A152,1,A173,1,A192,A201,0
100016,A14,26,A32,A42,1441,A61,A75,4,A93,A101,3,A123,45,A143,A152,2,A174,1,A191,A201,0
100017,A11,9,A32,A40,2758,A61,A75,2,A94,A101,2,A123,25,A143,A152,2,A173,1,A191,A202,1
100018,A14,14,A34,A46,2929,A61,A73,2,A92,A101,1,A122,39,A141,A151,2,A173,1,A192,A201,0
100019,A12,6,A34,A41,18424,A61,A74,4,A93,A101,2,A122,50,A142,A151,1,A172,2,A191,A201,0
100020,A11,9,A34,A43,2055,A61,A75,3,A93,A102,1,A123,37,A143,A152,1,A173,1,A191,A201,1
100021,A14,7,A32,A42,3154,A61,A73,4,A93,A101,3,A123,54,A143,A152,1,A173,1,A192,A201,0
100022,A13,16,A31,A40,4014,A61,A72,1,A93,A101,4,A121,30,A143,A152,2,A171,1,A191,A201,1
100023,A14,9,A34,A43,4186,A61,A73,3,A94,A101,2,A122,40,A143,A153,1,A173,1,A191,A201,0
100024,A14,21,A32,A41,701,A61,A75,4,A93,A101,4,A123,40,A143,A152,1,A174,1,A191,A201,0
100025,A11,20,A32,A40,2236,A62,A72,4,A94,A101,4,A121,26,A143,A152,1,A173,1,A192,A201,1
100026,A11,16,A32,A40,991,A61,A75,2,A93,A101,3,A121,22,A143,A152,2,A173,2,A192,A201,1
100027,A14,5,A34,A42,4508,A65,A74,1,A93,A103,3,A121,27,A143,A152,2,A173,1,A191,A201,0
100028,A14,13,A32,A43,964,A61,A73,1,A92,A101,2,A122,67,A143,A151,1,A172,2,A191,A201,0
100029,A13,18,A33,A40,738,A61,A73,3,A93,A101,4,A121,73,A143,A152,1,A172,1,A191,A201,0
100030,A13,19,A34,A40,1400,A61,A73,3,A91,A101,4,A123,43,A143,A153,1,A173,2,A191,A201,1
100031,A11,8,A32,A43,8384,A61,A72,2,A93,A101,2,A122,19,A143,A152,1,A173,1,A191,A201,1
100032,A12,14,A32,A40,4751,A61,A75,2,A92,A101,4,A123,42,A141,A153,1,A173,1,A192,A201,1
100033,A11,11,A32,A41,4929,A62,A73,1,A93,A102,4,A123,33,A143,A152,2,A174,2,A191,A201,1
100034,A12,12,A32,A43,1730,A65,A75,4,A91,A101,4,A123,30,A143,A153,1,A172,2,A191,A201,1
100035,A11,32,A32,A43,3192,A61,A73,4,A92,A101,2,A122,74,A143,A151,1,A173,1,A191,A201,0
100036,A13,12,A32,A42,1389,A61,A74,2,A91,A101,4,A123,57,A143,A152,1,A173,1,A192,A201,0
100037,A14,18,A32,A43,2242,A61,A75,4,A92,A101,2,A121,19,A143,A152,1,A173,1,A192,A201,0
100038,A12,29,A32,A49,5244,A61,A72,2,A92,A101,2,A123,19,A143,A151,1,A173,1,A191,A201,1
100039,A13,13,A32,A49,5124,A61,A72,1,A92,A101,1,A123,31,A143,A152,2,A173,1,A192,A201,0
100040,A13,17,A31,A42,2387,A63,A75,4,A94,A101,4,A123,33,A143,A152,1,A174,2,A191,A201,1
100041,A11,19,A32,A42,1463,A64,A72,2,A92,A101,4,A123,62,A143,A153,1,A173,1,A191,A201,1
100042,A11,19,A32,A42,1864,A65,A73,4,A93,A101,4,A123,33,A143,A152,2,A172,1,A192,A201,0
100043,A14,9,A32,A43,899,A61,A73,3,A93,A101,2,A122,27,A143,A151,1,A174,1,A191,A201,0
100044,A11,19,A34,A49,861,A65,A72,4,A92,A101,2,A123,26,A143,A152,1,A172,1,A191,A201,1
100045,A11,38,A34,A40,1955,A61,A75,4,A92,A101,3,A123,38,A143,A152,1,A174,1,A192,A201,1
100046,A14,8,A32,A43,3356,A61,A73,3,A93,A101,4,A124,27,A143,A152,1,A174,1,A192,A201,1
100047,A12,29,A32,A40,5479,A65,A72,2,A92,A101,4,A122,22,A141,A152,1,A174,1,A191,A201,0
100048,A12,19,A32,A43,7556,A63,A74,4,A93,A101,4,A123,26,A143,A152,2,A173,2,A191,A201,0
100049,A11,13,A32,A42,2450,A65,A71,4,A93,A101,4,A123,20,A143,A152,2,A173,1,A191,A201,0
100050,A14,54,A32,A41,4020,A61,A72,2,A93,A101,2,A121,28,A143,A151,2,A173,2,A191,A201,1
100051,A14,27,A32,A42,760,A62,A75,2,A93,A101,3,A124,55,A143,A152,1,A173,1,A192,A201,0
100052,A12,9,A32,A40,3690,A62,A75,3,A94,A103,4,A121,44,A142,A152,1,A173,1,A191,A201,0
100053,A14,19,A33,A49,12499,A61,A74,2,A91,A103,4,A123,39,A143,A152,1,A173,2,A192,A201,0
100054,A11,25,A32,A40,4030,A61,A75,3,A92,A101,1,A122,26,A143,A152,1,A173,1,A191,A201,1
100055,A11,16,A32,A43,6954,A61,A71,4,A93,A101,3,A124,39,A143,A151,1,A172,1,A192,A201,1
100056,A11,26,A32,A43,4443,A64,A75,1,A92,A101,4,A124,21,A143,A152,1,A173,2,A192,A201,0
100057,A14,17,A32,A49,4571,A65,A75,4,A93,A101,4,A124,24,A143,A152,2,A172,1,A192,A201,0
100058,A11,26,A32,A42,5511,A61,A75,4,A92,A101,1,A121,21,A141,A152,1,A173,1,A191,A201,1
100059,A11,40,A32,A49,1231,A61,A73,3,A93,A101,2,A122,31,A141,A152,2,A173,2,A192,A201,1
100060,A11,12,A34,A43,1955,A61,A75,4,A93,A101,1,A123,29,A143,A152,1,A173,1,A191,A201,0
100061,A11,20,A32,A40,6455,A61,A73,2,A92,A101,2,A122,25,A143,A152,1,A173,1,A192,A201,1
100062,A11,14,A32,A40,1684,A61,A73,2,A93,A101,3,A122,21,A143,A152,1,A174,1,A192,A201,0
100063,A12,19,A34,A41,5908,A61,A75,3,A92,A101,3,A124,73,A143,A152,2,A173,1,A191,A201,0
100064,A14,9,A32,A43,1631,A61,A75,4,A92,A101,2,A122,45,A143,A152,1,A172,1,A191,A201,0
100065,A11,13,A33,A42,2198,A61,A74,3,A92,A101,2,A122,39,A143,A151,1,A174,1,A191,A201,0
100066,A14,16,A32,A42,1590,A65,A73,3,A94,A101,4,A122,29,A142,A151,2,A173,1,A192,A201,0
100067,A14,30,A32,A42,4898,A61,A73,4,A93,A101,2,A121,28,A142,A151,1,A173,1,A191,A201,1
100068,A12,34,A32,A48,3249,A64,A74,4,A93,A101,2,A122,26,A143,A152,1,A173,1,A192,A201,1
100069,A14,9,A32,A40,651,A61,A73,4,A91,A101,2,A121,48,A143,A151,1,A173,1,A191,A201,0
100070,A12,12,A32,A46,1223,A64,A73,4,A92,A101,4,A122,32,A143,A152,1,A172,1,A192,A201,1
100071,A12,26,A33,A42,1255,A61,A72,2,A92,A101,1,A121,31,A143,A152,2,A173,1,A192,A201,1
100072,A12,6,A34,A43,3640,A61,A72,3,A92,A101,4,A124,35,A143,A152,1,A173,1,A191,A201,0
100073,A14,14,A32,A49,3290,A64,A72,3,A94,A101,2,A122,50,A143,A151,1,A173,1,A191,A201,0
100074,A13,17,A32,A43,787,A65,A75,4,A91,A103,4,A122,25,A143,A152,1,A173,1,A191,A201,0
100075,A14,36,A32,A40,3656,A61,A75,1,A93,A101,2,A122,31,A141,A151,2,A173,1,A192,A201,0
100076,A11,26,A31,A42,5558,A63,A74,3,A93,A101,4,A122,25,A143,A153,2,A173,1,A191,A201,1
100077,A11,15,A33,A43,2838,A61,A73,3,A94,A101,4,A122,44,A143,A152,2,A173,2,A191,A201,1
100078,A11,15,A32,A43,3829,A61,A72,2,A92,A103,2,A122,37,A141,A152,1,A173,1,A192,A201,1
100079,A14,16,A32,A42,18424,A61,A71,3,A93,A103,2,A122,30,A143,A152,1,A172,1,A191,A201,0
100080,A14,42,A32,A42,2555,A65,A75,4,A92,A101,4,A123,26,A141,A151,3,A173,1,A191,A201,1
100081,A11,14,A34,A40,2017,A65,A73,3,A93,A101,4,A123,47,A143,A152,1,A174,1,A191,A201,0
100082,A13,15,A32,A43,3672,A62,A72,2,A92,A101,4,A121,61,A142,A152,1,A173,1,A191,A201,1
100083,A12,22,A34,A43,2470,A61,A72,4,A93,A101,4,A121,32,A143,A151,2,A174,1,A191,A201,1
100084,A14,17,A33,A42,1247,A63,A71,4,A92,A101,4,A123,34,A143,A153,1,A173,1,A192,A201,0
100085,A12,16,A32,A40,2112,A61,A75,3,A94,A101,2,A122,31,A143,A152,2,A172,1,A192,A201,0
100086,A11,10,A32,A40,1227,A61,A75,3,A93,A101,4,A122,43,A143,A153,1,A172,1,A191,A201,1
100087,A12,18,A32,A43,7820,A61,A74,3,A92,A101,4,A121,34,A143,A152,2,A173,2,A191,A201,1
100088,A11,14,A31,A43,1215,A61,A74,3,A93,A101,3,A121,35,A143,A153,1,A174,1,A191,A201,0
100089,A14,34,A32,A42,8319,A63,A75,3,A93,A101,2,A123,52,A142,A152,2,A173,1,A191,A201,1
100090,A11,26,A32,A42,1689,A65,A72,4,A93,A101,2,A123,39,A143,A152,1,A172,2,A191,A201,0
100091,A11,18,A34,A42,1052,A62,A71,4,A93,A101,2,A121,30,A143,A152,1,A173,1,A191,A201,1
100092,A11,26,A32,A42,2147,A65,A72,4,A92,A101,1,A122,37,A143,A153,1,A172,1,A192,A201,0
100093,A14,15,A32,A40,7563,A61,A73,3,A93,A101,2,A122,31,A143,A152,1,A173,2,A191,A201,1
100094,A11,32,A32,A48,2868,A61,A72,4,A93,A101,4,A123,42,A143,A152,2,A173,1,A192,A201,1
100095,A14,18,A31,A43,7438,A65,A74,4,A93,A101,4,A124,29,A143,A152,1,A174,1,A191,A201,0
100096,A12,25,A32,A46,4543,A61,A74,2,A93,A101,2,A122,29,A143,A151,1,A173,1,A192,A201,1
100097,A14,9,A31,A49,3253,A61,A75,4,A92,A101,4,A123,23,A143,A151,2,A173,1,A192,A201,0
100098,A14,22,A34,A46,1735,A65,A73,4,A93,A101,4,A123,69,A141,A152,1,A173,1,A191,A201,0
100099,A11,7,A32,A43,4574,A65,A75,3,A93,A101,3,A122,20,A143,A152,1,A172,1,A191,A201,0
100100,A13,6,A33,A43,2862,A61,A73,4,A91,A101,4,A121,25,A143,A152,1,A173,1,A191,A201,0
100101,A14,15,A32,A49,1876,A62,A72,2,A93,A102,2,A124,27,A143,A152,1,A173,1,A192,A201,1
100102,A11,11,A34,A43,2466,A61,A74,1,A93,A102,4,A123,35,A143,A152,1,A173,1,A191,A201,1
100103,A11,20,A34,A43,4118,A61,A74,2,A92,A101,2,A123,40,A141,A152,2,A173,1,A191,A201,1
100104,A12,62,A34,A49,3229,A61,A75,4,A94,A101,4,A121,26,A143,A151,1,A173,1,A191,A201,1
100105,A11,11,A32,A43,5945,A61,A73,4,A93,A101,2,A122,25,A143,A152,2,A173,1,A191,A201,1
100106,A11,13,A33,A40,11373,A61,A73,2,A93,A101,1,A123,35,A143,A152,2,A171,1,A192,A201,0
100107,A12,20,A32,A42,4036,A65,A75,4,A93,A101,4,A122,19,A143,A152,1,A173,2,A191,A201,0
100108,A11,24,A32,A43,4481,A62,A73,2,A93,A101,4,A122,36,A141,A152,2,A173,1,A192,A201,0
100109,A12,16,A32,A42,4252,A65,A74,4,A93,A101,2,A123,47,A143,A151,2,A172,1,A192,A201,0
100110,A12,16,A32,A43,3784,A61,A75,4,A94,A103,1,A122,57,A143,A152,2,A173,1,A191,A201,0
100111,A14,27,A33,A46,2447,A61,A72,4,A93,A101,4,A121,49,A143,A152,1,A172,1,A192,A201,0
100112,A11,24,A34,A49,1766,A63,A73,3,A93,A101,4,A123,48,A143,A152,2,A172,1,A191,A201,0
100113,A14,10,A32,A49,1959,A62,A74,4,A94,A101,4,A121,23,A143,A152,1,A174,1,A191,A201,0
100114,A12,17,A32,A43,1449,A61,A75,2,A94,A101,4,A122,28,A143,A151,2,A173,1,A192,A201,0
100115,A14,18,A33,A40,4201,A61,A73,3,A92,A103,4,A121,31,A143,A152,2,A172,1,A191,A201,0
100116,A14,10,A32,A43,1128,A61,A75,4,A92,A101,4,A121,26,A143,A152,1,A171,2,A192,A201,0
100117,A12,21,A32,A43,2464,A61,A72,4,A93,A103,4,A123,45,A143,A152,2,A173,1,A192,A201,0
100118,A11,11,A32,A40,1513,A64,A72,3,A92,A101,1,A122,42,A143,A152,1,A174,1,A191,A201,0
100119,A14,31,A34,A49,1562,A62,A75,3,A93,A101,2,A121,23,A143,A152,2,A173,1,A191,A201,0
100120,A14,20,A34,A41,4156,A61,A73,2,A92,A101,2,A124,30,A143,A152,2,A171,1,A192,A201,1
100121,A14,19,A32,A43,2965,A61,A73,4,A93,A102,2,A123,38,A141,A151,2,A173,1,A191,A201,0
100122,A12,13,A33,A43,4885,A61,A73,1,A93,A101,4,A121,72,A143,A152,1,A174,1,A192,A201,1
100123,A14,17,A32,A41,1479,A61,A75,3,A92,A101,2,A122,25,A143,A151,1,A173,1,A192,A201,0
100124,A14,6,A32,A42,1860,A61,A71,2,A93,A101,2,A122,26,A143,A152,1,A173,1,A191,A201,0
100125,A11,10,A34,A41,2845,A61,A73,4,A93,A101,3,A123,43,A143,A151,2,A173,1,A191,A201,1
100126,A12,22,A34,A40,4114,A61,A73,3,A93,A102,1,A122,28,A143,A153,1,A173,2,A191,A201,1
100127,A12,6,A34,A41,3784,A65,A73,1,A93,A101,2,A121,36,A143,A152,1,A173,1,A192,A201,0
100128,A12,29,A32,A43,6297,A63,A71,1,A92,A101,4,A123,55,A143,A151,1,A174,1,A192,A201,1
100129,A14,7,A32,A46,1163,A61,A74,4,A94,A101,2,A124,35,A143,A152,1,A173,2,A192,A201,0
100130,A14,27,A33,A43,2362,A62,A75,4,A92,A101,1,A123,22,A143,A152,1,A173,1,A191,A201,0
100131,A14,11,A32,A40,1711,A62,A75,4,A93,A101,3,A121,41,A143,A152,2,A173,1,A192,A201,0
100132,A12,28,A34,A42,7863,A61,A73,4,A92,A101,4,A121,27,A141,A152,1,A172,1,A191,A201,1
100133,A11,19,A32,A42,976,A61,A73,2,A93,A101,3,A121,34,A141,A152,1,A173,1,A192,A201,0
100134,A11,8,A30,A46,1457,A65,A73,1,A92,A101,2,A124,43,A143,A152,1,A173,1,A192,A201,0
100135,A11,36,A32,A40,5156,A65,A73,1,A93,A101,1,A122,23,A143,A152,2,A173,1,A191,A201,0
100136,A14,40,A32,A43,1437,A65,A73,1,A92,A101,4,A122,41,A143,A151,1,A173,1,A192,A201,0
100137,A14,17,A34,A43,816,A62,A74,4,A92,A101,4,A121,39,A141,A153,1,A173,1,A191,A201,0
100138,A11,16,A34,A46,6603,A65,A73,2,A92,A101,3,A123,33,A143,A153,1,A172,1,A191,A201,1
100139,A12,17,A34,A42,4380,A61,A74,4,A92,A101,4,A123,56,A141,A152,1,A174,1,A191,A201,0
100140,A14,11,A33,A49,1788,A61,A75,4,A93,A101,4,A123,43,A143,A152,2,A173,1,A191,A201,0
100141,A11,33,A31,A43,1389,A61,A73,3,A93,A101,4,A123,45,A143,A152,1,A172,2,A191,A201,0
100142,A14,13,A31,A42,2279,A61,A75,4,A94,A101,4,A123,40,A143,A153,1,A173,1,A192,A201,0
100143,A13,18,A32,A43,1581,A61,A75,3,A91,A101,3,A123,39,A143,A153,1,A173,1,A192,A201,1
100144,A12,12,A31,A43,1677,A61,A75,4,A92,A101,3,A123,19,A143,A152,1,A173,1,A191,A201,0
100145,A14,13,A32,A49,4238,A61,A75,4,A93,A101,4,A121,34,A143,A152,2,A172,1,A191,A201,0
100146,A14,9,A34,A43,1543,A61,A71,2,A92,A102,2,A122,21,A143,A152,1,A171,1,A191,A201,0
100147,A11,36,A30,A43,2227,A61,A73,4,A93,A101,4,A121,63,A143,A152,2,A174,1,A191,A201,0
100148,A14,17,A32,A40,1638,A62,A71,4,A93,A101,4,A124,32,A143,A152,2,A173,1,A192,A201,0
100149,A11,31,A32,A40,4257,A62,A73,1,A91,A101,4,A122,46,A143,A152,1,A173,1,A191,A201,1
100150,A14,18,A32,A41,2367,A62,A73,4,A92,A101,2,A121,24,A143,A152,2,A173,2,A191,A201,0
100151,A14,12,A32,A43,5385,A61,A74,4,A93,A101,2,A123,25,A143,A152,1,A172,1,A192,A201,0
100152,A11,15,A32,A40,1150,A63,A74,1,A93,A103,4,A124,42,A143,A152,1,A173,1,A192,A201,1
100153,A11,13,A33,A42,1713,A65,A75,1,A93,A101,3,A121,25,A141,A152,1,A173,1,A192,A201,0
100154,A11,18,A34,A43,2181,A61,A73,1,A93,A101,2,A122,43,A143,A152,2,A173,1,A191,A201,0
100155,A14,15,A34,A43,2744,A61,A75,4,A92,A101,4,A124,70,A143,A152,1,A174,1,A191,A201,1
100156,A14,15,A34,A43,1936,A61,A73,1,A93,A101,2,A121,23,A143,A153,2,A174,1,A191,A201,0
100157,A11,8,A34,A41,9893,A65,A74,4,A92,A101,4,A123,33,A141,A151,4,A173,1,A192,A201,1
100158,A12,12,A32,A43,1781,A64,A75,2,A92,A101,1,A121,39,A143,A152,2,A173,2,A191,A201,0
100159,A11,45,A32,A40,2037,A65,A71,1,A92,A101,4,A121,22,A143,A152,2,A172,2,A191,A201,1
100160,A11,12,A32,A42,1079,A61,A73,4,A93,A101,3,A123,32,A143,A151,2,A173,1,A191,A201,0
100161,A12,10,A32,A43,1982,A61,A75,3,A92,A101,4,A122,54,A143,A151,2,A172,2,A192,A202,1
100162,A11,22,A34,A49,10735,A61,A75,4,A92,A101,1,A122,22,A141,A152,1,A172,1,A192,A201,1
100163,A14,39,A32,A40,3122,A61,A73,4,A94,A101,4,A123,28,A143,A152,1,A173,1,A192,A201,0
100164,A11,8,A34,A45,1443,A62,A74,3,A93,A101,3,A121,21,A142,A152,3,A174,1,A191,A201,1
100165,A12,16,A32,A49,4917,A64,A72,2,A93,A101,4,A123,44,A143,A152,2,A173,1,A192,A202,1
100166,A14,13,A32,A43,2070,A62,A75,2,A93,A101,4,A121,25,A141,A152,2,A172,1,A192,A201,1
100167,A14,7,A32,A42,3719,A61,A73,3,A93,A101,1,A123,22,A143,A152,2,A174,2,A191,A201,0
100168,A12,27,A34,A43,1201,A61,A75,2,A93,A101,2,A123,28,A141,A152,1,A172,2,A191,A201,0
100169,A12,18,A34,A40,1751,A65,A73,4,A93,A101,4,A121,27,A143,A151,1,A171,1,A191,A201,1
100170,A14,19,A32,A42,6713,A61,A73,4,A94,A101,2,A121,61,A143,A153,1,A174,1,A191,A201,0
100171,A14,12,A32,A49,2704,A65,A72,4,A94,A101,3,A122,19,A143,A153,1,A174,1,A192,A201,0
100172,A12,23,A32,A46,2982,A61,A72,2,A93,A101,4,A121,61,A143,A151,1,A173,1,A191,A201,0
100173,A14,13,A34,A40,3477,A62,A73,4,A94,A101,2,A124,30,A143,A152,1,A173,1,A191,A201,0
100174,A11,17,A32,A40,4781,A65,A71,1,A93,A101,4,A124,30,A141,A153,1,A173,2,A191,A201,0
100175,A12,10,A32,A41,1756,A61,A75,4,A94,A101,2,A121,40,A143,A152,3,A174,1,A191,A201,0
100176,A14,9,A31,A43,1299,A65,A75,2,A93,A101,1,A121,45,A143,A152,2,A173,1,A191,A201,0
100177,A11,38,A34,A40,2355,A61,A72,3,A92,A101,2,A123,30,A143,A151,1,A173,2,A192,A201,1
100178,A14,14,A32,A43,4749,A61,A75,4,A93,A101,4,A122,25,A143,A152,1,A173,1,A191,A201,0
100179,A14,21,A32,A49,2033,A61,A72,2,A92,A101,2,A123,28,A141,A151,3,A174,1,A191,A201,0
100180,A14,18,A32,A42,5169,A64,A73,4,A93,A101,3,A121,25,A143,A152,1,A173,1,A192,A201,1
100181,A14,14,A34,A49,896,A61,A72,4,A91,A101,4,A123,28,A143,A152,4,A173,1,A192,A201,1
100182,A14,14,A32,A42,1668,A61,A72,1,A93,A101,4,A123,23,A143,A152,2,A173,1,A191,A201,0
100183,A14,26,A34,A49,1311,A62,A73,4,A93,A101,1,A123,27,A143,A152,1,A174,1,A191,A201,0
100184,A14,15,A34,A49,707,A62,A73,3,A92,A101,1,A124,31,A143,A152,1,A173,1,A191,A201,0
100185,A11,17,A32,A42,10266,A61,A73,2,A92,A101,4,A122,23,A143,A152,1,A173,1,A191,A201,1
100186,A14,18,A33,A41,2429,A63,A75,4,A93,A101,2,A123,27,A143,A152,1,A174,1,A192,A201,0
100187,A14,34,A32,A42,10007,A61,A73,4,A93,A101,2,A123,31,A143,A153,1,A173,2,A192,A201,0
100188,A13,26,A32,A43,3642,A61,A75,2,A93,A101,3,A122,29,A141,A152,1,A173,1,A191,A201,0
100189,A12,22,A34,A41,1276,A65,A75,2,A93,A101,4,A122,23,A143,A152,1,A174,1,A191,A201,0
100190,A12,13,A34,A43,6185,A65,A75,4,A93,A101,4,A124,22,A142,A152,1,A174,2,A191,A201,1
100191,A14,8,A34,A49,3922,A61,A75,1,A91,A101,2,A122,40,A143,A152,1,A171,1,A192,A201,1
100192,A11,30,A34,A43,9785,A65,A75,4,A92,A101,2,A123,32,A142,A152,1,A172,1,A192,A201,1
100193,A11,31,A33,A40,4373,A61,A75,3,A92,A101,2,A123,35,A141,A153,1,A172,1,A191,A201,1
100194,A12,17,A32,A41,2289,A61,A73,4,A93,A101,4,A123,56,A143,A153,1,A173,1,A192,A201,0
